Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0609,,,,,,,,,,
Feb,2,0.8239,0.3952,0.3869,0.3869,0.4413,0.4413,0.4413,0.4413,0.4413,0.8161,
Mar,3,5.2797,4.8195,2.9472,2.8878,6.9123,6.0601,11.5181,10.1912,5.553,11.9631,
Apr,4,20.6602,16.5232,9.5172,17.0093,11.6563,53.681,6.9495,24.8857,15.1162,10.0966,
May,5,97.4339,73.4141,114.8929,78.6239,114.4855,130.0494,113.1404,93.2117,119.9568,106.7081,
Jun,6,141.86,127.0936,131.3855,169.0872,174.0013,144.7207,132.189,146.5263,125.8196,128.5189,
Jul,7,187.9485,192.1915,175.6216,196.9052,217.4106,168.5974,194.8402,187.998,207.4053,202.0252,
Aug,8,208.482,194.5071,242.0758,259.4682,242.1233,188.8947,169.9333,188.4302,211.094,262.1,
Sep,9,137.2645,125.1617,144.5383,135.6314,170.5538,141.9829,100.4337,114.4299,136.4468,,
Oct,10,55.138,102.6858,61.5498,62.719,22.9378,32.6135,89.5023,49.96,36.9461,,
Nov,11,7.5372,3.9207,3.8531,11.3174,3.2775,4.4332,7.2085,5.5633,5.9654,,
Dec,12,0.5126,,,,,,0.6758,,,
