Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.1565,,,,,,,,,,
Feb,2,0.4162,0.0923,0.0923,0.0923,0.1102,0.1102,0.1101,0.1102,0.1102,0.1102,
Mar,3,6.4522,7.3109,3.7805,4.1115,5.2738,7.1778,10.0813,16.6114,5.7689,10.4897,
Apr,4,17.0832,13.7183,6.7172,7.461,11.5474,54.4263,8.0217,21.8815,11.0746,9.9436,
May,5,74.5971,66.0456,95.6191,85.9079,100.6571,102.9415,37.4953,104.1898,95.6778,69.448,
Jun,6,133.047,109.6064,139.0283,141.9643,152.91,196.8508,135.2794,130.4721,199.2898,124.5315,
Jul,7,160.8495,159.9583,168.6145,196.1104,117.2411,201.008,136.8967,186.2409,214.915,149.9782,
Aug,8,202.6409,234.2849,207.6963,179.6809,233.2422,221.3247,221.3811,155.2156,261.6214,289.9216,
Sep,9,143.6355,115.927,216.7822,123.5942,181.2938,158.1256,133.2309,120.151,147.9601,,
Oct,10,86.2402,161.4808,87.3763,69.3592,36.4616,77.4824,130.1977,103.2327,59.0955,,
Nov,11,4.8933,5.7998,1.7225,15.3769,3.1953,1.4471,1.6427,1.4425,4.9932,,
Dec,12,0.1721,,,,,,,,,
