Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0777,,,,,,,,,,
Feb,2,0.3742,0.2291,,,,0.1928,,,,,
Mar,3,4.9606,4.754,3.5494,3.6036,5.1502,5.7272,9.4674,11.9656,4.5566,4.3465,
Apr,4,25.9429,12.3621,7.6767,20.541,13.8633,69.2544,10.9844,46.5813,19.5358,23.3915,
May,5,77.4026,77.2105,77.7556,107.0982,108.0468,117.6947,47.2543,135.5873,104.0278,104.905,
Jun,6,132.07,123.1261,150.1391,149.7747,142.9496,189.1067,126.3794,141.4508,177.8004,124.0056,
Jul,7,160.2353,166.8272,190.8302,225.1053,103.5484,185.4246,140.8612,173.4294,207.4705,142.4229,
Aug,8,195.6025,275.5194,186.2603,216.4701,159.3247,203.4254,207.1509,152.0255,233.6962,222.6471,
Sep,9,151.0052,123.8773,209.9872,112.669,201.9758,182.0638,160.0731,113.9503,166.1349,,
Oct,10,75.2099,104.9933,92.6002,63.818,55.3131,67.0686,98.5687,75.3246,65.3561,,
Nov,11,4.0801,4.953,1.6861,8.3682,1.6705,1.7844,2.4927,1.6301,6.2132,,
Dec,12,0.2165,,,,,,,,,
