Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.4378,0.0214,0.0214,0.0214,0.1121,0.0214,0.0214,0.0214,0.0214,0.0214,
Feb,2,0.3378,,,,,0.0285,,,,0.1118,
Mar,3,5.3743,5.5889,4.2635,4.5288,5.05,5.8464,9.9443,10.8327,5.5074,7.326,
Apr,4,35.0675,17.5518,11.1043,34.5549,16.0652,86.9963,17.6416,65.6866,27.2467,37.336,
May,5,82.1244,100.1063,79.1617,107.0119,111.7076,142.483,56.0963,127.7064,86.2144,100.561,
Jun,6,138.6684,145.7195,163.2938,149.5021,188.8855,177.1289,133.723,165.5743,163.2379,146.0243,
Jul,7,175.904,173.1687,205.2884,247.7412,138.9634,201.6648,146.8436,179.2664,222.2683,184.9593,
Aug,8,192.7008,242.483,216.348,229.6768,133.238,168.1004,198.2699,156.745,229.4216,200.3772,
Sep,9,137.2326,135.9014,185.2697,110.3718,181.7073,166.7158,151.4966,106.4305,144.5555,,
Oct,10,76.6769,101.8697,93.2473,72.5673,51.1956,80.3525,96.5425,75.3539,63.0892,,
Nov,11,7.4306,3.9357,2.2157,16.3295,2.9596,4.5871,6.3749,2.7223,12.4709,,
Dec,12,0.3863,,,,,,,,,
