Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0456,,,,,,,,,,
Feb,2,0.5103,0.3878,,,,0.0192,0.2206,0.0213,0.0199,0.1501,
Mar,3,7.6045,7.873,7.0246,7.0508,8.153,6.9135,11.3467,11.2872,5.9734,11.4038,
Apr,4,33.7766,19.5645,12.6522,33.2662,12.1504,70.8977,24.6387,59.4721,26.0103,28.8433,
May,5,85.8891,99.5743,73.2614,109.6577,108.9097,140.2007,79.9947,135.5411,86.9366,118.9033,
Jun,6,134.6937,125.5977,165.3176,133.3387,208.9846,152.2039,129.7158,182.1405,142.4743,166.5253,
Jul,7,187.6284,196.6695,228.4953,269.4805,168.3149,201.7136,147.1108,208.5277,218.4275,174.4371,
Aug,8,181.2017,213.0315,206.9869,233.3065,108.9152,159.1197,176.9041,149.832,203.3787,179.1982,
Sep,9,124.858,137.6811,145.746,108.8281,161.296,153.371,130.224,96.7581,130.6774,,
Oct,10,73.2268,68.1649,97.6801,81.3652,56.174,111.2592,78.1374,65.3114,58.9857,,
Nov,11,9.9468,8.7225,3.8176,18.7344,5.9365,8.3981,10.3517,5.3009,8.6904,,
Dec,12,0.58,,,,,,0.2208,,,
