Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.3369,0.1005,0.1005,0.1005,0.1938,0.1141,0.1023,0.1023,0.1023,0.1023,
Feb,2,0.4884,0.5168,,,,0.0248,0.1599,,,0.3688,
Mar,3,8.3356,9.0073,7.1997,7.2875,7.7295,7.9109,15.1079,14.2491,7.1547,15.9939,
Apr,4,42.3535,25.7258,17.0772,47.0472,17.5214,94.1929,25.6012,68.3511,31.2347,42.0276,
May,5,87.7741,113.0023,79.5875,103.5185,121.5084,139.5807,71.9714,134.7817,84.4215,110.146,
Jun,6,137.2028,147.3113,156.2245,137.113,211.9583,154.3055,139.9673,182.5551,135.165,152.464,
Jul,7,192.0965,192.2636,223.1615,265.4054,173.1383,208.95,153.8351,206.6536,221.8739,178.1503,
Aug,8,184.7589,210.1554,215.3419,236.314,124.9759,151.6081,183.1966,158.0333,215.4155,187.7297,
Sep,9,135.0401,149.5796,146.8942,122.2687,173.341,154.4917,140.8678,103.9261,133.2667,,
Oct,10,65.4032,65.3219,81.7487,62.8893,51.9876,97.493,73.2068,58.7301,52.7906,,
Nov,11,7.9385,6.106,3.0279,15.6288,4.4808,6.0635,8.665,4.0125,8.4294,,
Dec,12,0.4757,,,,,,0.2392,,,
