Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.3718,,,,,,,,,,
Feb,2,0.7648,0.3963,0.3963,0.3963,0.4765,0.5083,0.4764,0.4765,0.4765,0.4844,
Mar,3,7.1847,6.9702,4.7333,4.9958,8.872,9.2553,14.289,17.5211,8.418,13.2048,
Apr,4,23.2127,14.0132,9.0165,15.1537,16.3721,64.8789,10.943,31.894,15.9857,18.0305,
May,5,80.1391,78.6669,92.3365,90.7329,116.8324,122.3878,44.9267,123.7945,105.1736,83.6972,
Jun,6,137.5538,135.2623,142.1049,150.4078,172.4783,170.1002,148.6023,144.9097,172.7026,148.927,
Jul,7,170.8644,172.0443,191.0541,196.6613,133.5848,192.5799,166.422,179.801,217.1568,170.5649,
Aug,8,198.1272,245.2803,215.4948,200.9938,180.6051,210.3763,218.8042,176.425,237.4449,234.7078,
Sep,9,142.8723,114.3187,216.4267,111.7687,196.7414,153.2604,133.7977,120.3727,141.2222,,
Oct,10,85.8251,143.9816,98.5365,75.6834,50.5591,70.8759,117.8797,92.4877,72.1278,,
Nov,11,6.4778,4.4183,2.0317,16.9192,2.6217,2.4221,2.9454,1.8981,12.0981,,
Dec,12,0.3266,,,,,,,,,
