Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.2066,,,,0.0061,,,,,,
Feb,2,0.944,0.9824,0.38,0.4057,0.5069,0.5323,0.9877,0.5069,0.7228,0.8211,
Mar,3,11.4469,11.0229,10.9388,8.5186,15.5327,13.1704,19.5281,20.0039,8.9212,21.2458,
Apr,4,53.3664,37.3144,16.6906,51.526,23.692,127.8412,40.0679,75.4521,47.2262,44.1473,
May,5,82.4807,86.0992,71.3481,86.3182,94.5006,101.0249,91.6074,108.8804,85.1262,105.0929,
Jun,6,145.9145,158.4818,180.2778,143.5168,226.4511,129.3153,126.4337,162.28,119.75,155.785,
Jul,7,168.3979,185.0728,203.3771,252.6933,166.2118,143.198,125.8853,194.7284,160.4985,123.6491,
Aug,8,178.8484,186.3592,194.1967,235.6367,127.2351,147.0717,156.4333,112.3136,170.3692,171.5879,
Sep,9,125.4592,142.9238,137.1484,110.9333,166.702,146.2718,130.1639,96.1153,121.8543,,
Oct,10,72.1243,54.5566,89.1976,67.6383,70.6924,99.2882,78.4323,68.2643,55.5584,,
Nov,11,10.3357,12.1166,5.7524,14.3393,6.7709,8.9981,12.4842,6.1204,8.8849,,
Dec,12,0.5387,,,,0.0776,,0.8364,,0.0122,
