Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0873,,,,,,,,,,
Feb,2,0.2928,0.0196,0.0156,0.0156,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,
Mar,3,4.5419,4.992,3.2525,3.3164,4.569,5.2509,8.4803,9.7215,4.0969,4.9852,
Apr,4,19.6803,12.6031,6.9127,10.4898,6.3464,64.1541,7.2174,27.5024,13.0604,15.6111,
May,5,74.9356,64.2073,80.3725,100.7093,93.9913,109.7467,50.9054,135.0721,98.0277,113.3326,
Jun,6,132.2078,126.2575,132.68,134.3466,141.9078,195.2334,136.015,116.9173,220.4706,101.3354,
Jul,7,151.4818,148.3787,183.8012,200.8309,86.9205,186.8693,139.6554,176.1942,192.3603,142.7963,
Aug,8,194.5166,261.3767,196.018,160.0299,185.5985,204.0426,195.7731,134.2503,210.5561,235.0728,
Sep,9,161.3105,124.961,246.8822,131.5783,208.1497,186.3096,178.8874,137.7614,179.1212,,
Oct,10,81.5098,116.6383,82.6389,58.4047,48.9469,86.194,122.9697,88.5534,66.5928,,
Nov,11,3.1858,5.0736,1.6089,8.6664,1.5082,1.4667,1.4946,1.463,2.7629,,
Dec,12,0.1501,,,,,,,,,
