Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.1425,,,,,,,,,,
Feb,2,0.2806,,,,,,,,,,
Mar,3,4.4302,4.5164,2.7503,2.8045,5.448,4.7717,9.086,11.5471,3.74,5.8405,
Apr,4,23.7884,13.5885,8.8258,15.471,12.7266,68.8166,10.4821,34.797,16.9522,18.7413,
May,5,76.439,76.6057,86.4532,98.4976,109.4242,111.6135,41.4263,131.9403,109.3451,91.5531,
Jun,6,135.9036,122.0796,142.0707,153.2496,151.2007,195.2843,131.5972,144.2436,193.5615,123.6361,
Jul,7,159.7238,161.9233,181.171,198.3267,110.5295,181.6894,147.6077,172.6359,206.8174,151.1465,
Aug,8,203.2081,266.5721,201.9649,205.1223,188.3455,216.3597,217.4626,166.2718,243.3513,239.3966,
Sep,9,157.0886,118.9571,227.2838,112.3821,210.4409,174.9619,154.049,124.9703,158.8491,,
Oct,10,87.5661,140.5796,100.1039,73.1314,53.2881,78.8813,117.8426,92.4215,64.5503,,
Nov,11,4.7379,6.5081,1.659,12.7009,1.6229,1.7151,1.986,1.5673,8.095,,
Dec,12,0.215,,,,,,,,,
