Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0704,0.0239,0.0242,0.0239,0.0241,0.0241,0.0241,0.0241,0.0241,0.0241,
Feb,2,0.4881,0.3558,0.2458,0.2983,0.2691,0.3006,0.2741,0.3404,0.2857,0.3095,
Mar,3,3.7684,2.8529,3.355,3.262,3.547,5.6207,7.1248,4.5452,3.5172,4.8592,
Apr,4,23.7009,10.2983,7.1001,16.8837,6.6858,52.4646,13.3789,46.4881,25.5824,16.4149,
May,5,78.9928,89.7545,81.6535,87.7958,120.876,116.3947,99.525,160.9673,95.9816,130.2479,
Jun,6,105.2108,115.2493,112.7417,121.6311,156.6571,114.4272,132.3802,99.6526,142.4164,140.6283,
Jul,7,164.2071,199.0392,189.5178,207.5715,139.0385,182.7194,144.6875,184.044,196.5727,102.9156,
Aug,8,166.0462,164.3423,173.3259,195.2208,157.2854,155.0933,188.3269,151.9995,171.4514,191.7687,
Sep,9,116.4003,140.7748,122.5216,121.4986,162.7608,112.1264,161.1606,122.9339,153.1552,,
Oct,10,87.3179,112.5979,122.8194,93.0268,79.7354,104.6514,131.6605,83.0796,95.6466,,
Nov,11,5.6927,5.9686,0.9235,12.3391,5.6116,2.028,2.2879,1.0266,4.4631,,
Dec,12,0.4889,0.1574,0.1572,0.1574,0.199,0.199,0.4503,0.199,0.2115,
