Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0063,,,,,,,,,,
Feb,2,0.2306,,,,,,,,,,
Mar,3,3.2169,2.9436,2.6945,3.0401,3.1247,4.5436,6.7461,4.5507,2.8629,3.5527,
Apr,4,16.6572,6.9534,7.869,11.7758,4.1446,46.3054,5.9459,27.2408,22.8782,9.1312,
May,5,69.2101,99.8465,74.4287,74.4445,115.7128,86.4985,67.3314,153.8445,84.8093,114.7568,
Jun,6,114.5108,109.2677,135.1085,141.4341,169.7276,144.4812,149.7761,115.0778,203.7159,143.0391,
Jul,7,164.7623,211.6145,209.6907,197.443,125.8657,184.3819,163.274,198.6833,205.2047,128.2178,
Aug,8,177.8579,155.5369,180.9148,186.1911,206.3232,199.9983,228.3317,173.0677,192.4718,192.0746,
Sep,9,113.6023,121.8533,115.5731,106.1807,165.9247,129.1464,165.8359,125.0667,161.3826,,
Oct,10,77.4441,101.3813,103.9132,76.6189,68.1195,73.5005,121.4502,71.0641,67.5692,,
Nov,11,3.9273,1.6956,1.2157,9.0151,4.2994,1.4363,1.4387,1.2075,4.1869,,
Dec,12,0.2479,,,,,,0.0442,,,
