Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.6679,1.5586,2.2442,1.361,1.5597,1.468,1.6157,1.6463,1.4674,1.5289,
Feb,2,2.6494,4.0368,2.21,2.4579,2.4987,2.7466,2.6958,2.896,4.7583,3.6148,
Mar,3,7.8001,3.5911,8.3263,4.8888,5.7291,14.1291,15.7408,12.0473,6.403,15.352,
Apr,4,29.2477,18.8692,21.5558,19.3804,9.6841,52.8274,26.3321,36.6199,30.9802,21.7835,
May,5,125.5104,122.5336,122.6274,150.309,144.6792,176.9019,164.2695,212.3538,147.0591,190.5747,
Jun,6,109.5265,116.3666,109.6701,104.6228,106.4999,100.1031,136.423,131.8801,138.307,114.6595,
Jul,7,172.8744,181.3569,154.857,184.6423,150.5753,141.7085,153.7474,193.4794,166.6888,97.4411,
Aug,8,161.2169,132.2379,148.3337,169.5087,146.7103,160.1197,146.9733,114.4035,156.161,175.9636,
Sep,9,116.6292,122.2494,121.0754,111.3297,143.9471,96.3353,125.8931,108.0132,139.2246,,
Oct,10,105.2689,131.346,123.1035,92.097,97.8008,154.5066,146.72,99.8383,118.1077,,
Nov,11,12.8277,20.3778,4.6431,13.8158,16.9725,15.0947,11.4304,2.5036,9.1927,,
Dec,12,1.9801,1.5946,1.3944,1.4949,2.2966,1.5944,3.8778,2.8738,1.6209,
