Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.3382,0.2179,0.3383,0.2104,0.226,0.228,0.2339,0.2339,0.2269,0.2268,
Feb,2,1.34,1.8677,1.0572,1.3912,1.1538,1.246,1.2453,1.3707,1.2071,1.5335,
Mar,3,3.3674,2.3604,3.4424,2.9447,2.5866,5.1855,5.7803,4.0593,2.7786,5.3458,
Apr,4,16.7734,8.1157,9.6141,9.6896,6.3191,30.7881,17.5329,22.5972,25.5181,11.3866,
May,5,103.5563,113.0553,103.236,111.0712,142.6151,150.6794,129.1182,201.3842,127.1634,145.0563,
Jun,6,95.1523,117.1852,90.4869,106.0851,112.6854,74.0442,119.8246,111.9453,121.2998,114.6637,
Jul,7,163.9718,159.5787,175.558,185.1957,105.7956,145.2967,111.7895,168.4966,139.5191,96.3273,
Aug,8,164.2012,123.6223,185.0528,173.4672,148.1362,161.9356,164.6398,143.1002,147.4341,153.5345,
Sep,9,111.0098,121.2787,118.3294,112.437,122.1222,96.1837,138.6279,119.4552,127.2448,,
Oct,10,142.2395,190.5102,146.1011,130.4615,118.9694,186.7869,170.7466,135.8718,128.5379,,
Nov,11,8.4163,11.1953,1.8573,20.0789,8.6256,5.5992,4.5646,1.7897,5.6818,,
Dec,12,1.5077,1.0529,1.0346,1.0504,1.2443,1.1275,2.851,1.2271,1.1002,
