Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.5994,0.467,0.8013,0.2855,0.365,0.3192,0.4158,0.42,0.3192,0.3485,
Feb,2,1.5598,3.4064,0.767,0.495,0.7412,1.4533,1.2027,1.2578,5.3212,3.406,
Mar,3,11.6568,4.6232,12.2436,6.3438,7.7332,20.2443,23.8076,16.9965,8.8752,26.4219,
Apr,4,42.1454,29.927,29.8314,28.6688,18.6893,68.3206,36.1291,44.8175,40.9561,31.9156,
May,5,134.5473,119.1739,144.3991,191.8359,138.953,162.3026,163.7878,176.7397,141.7759,213.8467,
Jun,6,124.3652,109.8334,122.3738,100.7815,115.3476,109.145,162.2484,150.7469,140.7789,132.729,
Jul,7,164.5466,164.646,167.1921,181.809,150.5011,132.6352,165.3214,200.2494,168.8682,99.324,
Aug,8,172.2611,145.0275,152.882,185.7338,171.8943,193.426,141.7918,98.8451,172.753,191.183,
Sep,9,128.9313,122.4116,136.9592,119.6345,154.9981,118.8962,129.0938,101.0529,154.344,,
Oct,10,87.61,98.5643,95.646,79.2004,83.7793,129.0498,113.8137,76.6277,97.7998,,
Nov,11,16.52,23.088,7.6268,22.5908,23.389,20.2527,17.8649,4.0959,11.7495,,
Dec,12,0.9837,0.4923,0.1907,0.7273,0.6089,0.3033,2.703,1.8444,0.4794,
