Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0076,,,,,,,,,,
Feb,2,0.2748,,,,,,,,,,
Mar,3,4.1525,4.2487,2.8177,3.7824,3.712,5.5342,9.1522,7.2028,3.3893,4.3044,
Apr,4,24.1532,10.7998,6.2224,16.0955,4.8958,68.642,8.7883,43.7248,31.3115,13.5655,
May,5,76.8671,108.6958,72.6743,94.2159,120.7771,109.5227,75.13,162.336,108.5984,132.1781,
Jun,6,112.9493,107.37,127.5342,140.9771,170.402,134.0352,145.6835,108.7065,176.7004,131.2585,
Jul,7,152.4538,188.2808,206.2639,210.3478,122.1473,188.0632,151.7831,181.5326,196.2453,129.9024,
Aug,8,166.239,180.4499,175.4829,175.3946,167.4007,185.6956,217.6514,142.1438,179.3424,167.62,
Sep,9,104.7817,113.9616,116.7946,103.911,151.9271,123.0339,151.5024,108.4101,150.2038,,
Oct,10,74.788,90.8446,101.5791,73.6138,70.2862,64.8628,108.6573,73.5548,67.9885,,
Nov,11,5.2267,2.1984,1.3542,11.2143,3.9784,1.4566,1.4565,1.2872,3.0629,,
Dec,12,0.303,,,,,,0.1917,,,
