Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0106,,,,,,,,,,
Feb,2,0.189,,,,,,,,,,
Mar,3,1.8731,1.416,1.3799,1.4398,2.1756,2.4259,3.1547,2.2545,1.4755,2.5312,
Apr,4,9.0089,3.8594,4.6659,5.9426,3.4332,25.18,5.3214,10.4854,9.7224,4.3163,
May,5,47.9649,52.0445,63.2219,32.6745,62.664,71.8295,59.2391,110.2335,71.0604,77.7911,
Jun,6,75.4568,87.1459,75.7819,112.3302,107.5562,76.7974,109.5622,74.5983,101.1527,118.4683,
Jul,7,136.2112,144.0076,154.537,177.7974,78.6605,137.0434,95.7287,181.1981,171.9807,118.7523,
Aug,8,129.8567,107.1294,142.7726,141.0706,150.8665,153.3241,174.4189,137.964,135.9186,140.6625,
Sep,9,91.9249,75.5705,98.709,91.9324,122.1768,91.4186,118.6154,94.8503,122.1414,,
Oct,10,64.5013,86.0489,73.8088,62.1715,37.3685,76.7109,83.6517,59.7949,44.8516,,
Nov,11,2.6304,1.1921,1.0735,9.3276,2.4254,1.1489,1.1484,0.7607,4.1912,,
Dec,12,0.2313,,,,,,,,,
