Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0056,,,,,,,,,,
Feb,2,0.1809,,,,,,,,,,
Mar,3,2.3777,2.0655,2.1971,2.1555,2.7759,3.298,3.5967,2.9966,2.0213,2.867,
Apr,4,13.6415,5.5264,6.6725,8.6696,5.1381,33.0185,7.9258,16.5945,18.3152,6.9991,
May,5,69.8244,82.3265,95.9266,60.6585,109.6236,94.7716,81.2428,168.5368,91.697,113.285,
Jun,6,87.6913,100.1351,94.6342,119.3101,124.7891,81.7594,113.7191,91.2475,128.3053,127.917,
Jul,7,152.9379,164.5862,181.072,183.1739,90.2205,149.9511,112.8464,179.0783,164.4956,95.5094,
Aug,8,155.4275,106.2854,181.323,184.794,158.7103,170.1227,185.366,155.5909,148.4183,150.6019,
Sep,9,106.6282,116.1464,106.6421,103.7709,140.4409,95.8274,155.7865,123.5133,139.5544,,
Oct,10,103.6766,146.9793,117.2194,102.9228,82.4998,127.9795,124.2437,99.0307,83.814,,
Nov,11,4.9787,2.2908,1.2501,15.2887,4.2826,1.6043,1.7823,1.1305,5.7568,,
Dec,12,0.357,,,,0.0044,0.0044,0.0888,0.0044,0.0044,
