Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.8796,0.7801,0.9978,0.6863,0.7578,0.7507,0.7963,0.8023,0.7494,0.7588,
Feb,2,2.2218,3.8311,1.6826,1.7186,1.9835,3.068,2.1487,2.1948,5.8046,3.0897,
Mar,3,6.8046,3.7964,6.4964,4.5026,6.0364,10.4065,13.8505,10.8926,6.1885,14.2805,
Apr,4,37.4472,22.8615,26.1331,22.7087,14.6619,58.6173,30.8505,49.8699,35.002,30.6726,
May,5,117.3084,111.795,117.05,158.3521,120.5646,168.8028,157.299,204.8456,149.198,188.4838,
Jun,6,114.6635,116.4343,104.8622,106.601,120.3576,117.3221,139.2269,129.0226,148.7162,131.3558,
Jul,7,162.0398,192.3187,149.0609,204.2362,145.1026,154.3812,151.9999,191.4932,170.1507,85.2226,
Aug,8,167.5725,152.0753,147.6542,190.6945,148.316,156.9758,153.4292,108.4037,150.9659,187.3769,
Sep,9,121.981,135.4649,144.104,109.9687,175.99,93.4441,137.1537,93.064,143.1991,,
Oct,10,71.655,77.5657,90.786,70.0034,62.7754,98.0525,97.501,70.2009,78.5912,,
Nov,11,5.5409,8.3104,1.8047,8.0837,7.2594,5.3952,5.4726,0.9336,4.3129,,
Dec,12,0.8173,0.5061,0.4728,0.4891,0.6641,0.5553,1.3545,0.5553,0.588,
