Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0146,,,,,,,,,,
Feb,2,0.3489,,,,,,,,,,
Mar,3,4.0968,4.1565,3.0154,3.5245,3.8486,5.139,8.7966,6.9849,3.5951,3.7315,
Apr,4,26.7899,11.5357,7.9215,19.9865,6.113,68.2826,9.0684,50.641,25.5403,18.3067,
May,5,79.3246,90.2628,74.041,101.3638,105.0602,116.1804,75.6979,154.0431,118.8267,139.0167,
Jun,6,121.5516,113.7856,135.2945,151.8565,181.8322,156.4619,147.7722,114.6455,170.8773,139.2903,
Jul,7,159.4137,189.2373,205.5939,228.2883,125.2154,204.0156,158.7955,191.8374,198.9208,126.7752,
Aug,8,178.9709,231.2985,190.8323,189.144,165.0199,182.7723,224.131,133.3541,194.3733,186.5202,
Sep,9,117.0791,127.5028,147.9008,111.8799,160.1854,132.3014,157.427,111.8905,164.5276,,
Oct,10,76.7128,95.6606,99.0074,72.3787,69.5651,73.7881,110.1425,77.292,74.7409,,
Nov,11,6,4.1751,1.424,12.3452,3.5823,1.7509,1.4163,1.3248,6.223,,
Dec,12,0.3161,,,,,,0.27,,,
