Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0001,,,,,,,,,,
Feb,2,0.0678,,,,,,,,,,
Mar,3,1.1942,0.7231,0.7388,0.7485,1.2102,1.5772,1.593,1.3249,0.594,1.9654,
Apr,4,8.0711,3.7442,4.1812,5.7839,3.5826,23.8335,4.8935,7.2496,9.1938,3.7168,
May,5,49.7134,48.7639,73.1605,29.4382,59.0099,76.0335,63.1813,104.3816,64.308,72.3591,
Jun,6,71.9233,97.9522,63.4401,110.4427,92.0966,60.141,111.9186,74.712,75.6264,117.8001,
Jul,7,143.9401,133.58,149.8563,200.2803,65.8934,149.2809,99.0808,171.9191,161.2179,114.7014,
Aug,8,137.1385,105.1783,155.9311,141.5614,152.8581,157.4664,186.9128,146.2071,131.2341,147.9297,
Sep,9,91.2936,69.2782,106.1895,106.7059,113.2224,93.4005,119.4858,98.8836,112.7822,,
Oct,10,76.3436,99.3483,81.1731,65.0073,37.2206,93.6796,83.4445,62.41,48.6763,,
Nov,11,3.9063,1.9752,1.3952,12.6507,2.3521,1.64,1.6341,1.3717,4.3729,,
Dec,12,0.2399,,,,,,0.0587,,,
