Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0335,,,,,,,,,,
Feb,2,0.4567,0.1858,0.0557,0.0368,0.0751,0.3191,0.0947,0.0997,0.7233,0.3328,
Mar,3,6.6359,4.1491,5.5802,4.5827,6.9083,7.2258,13.0471,9.7642,6.115,12.4272,
Apr,4,44.884,26.7817,27.1261,27.6733,19.8042,74.3152,31.4801,61.0605,39.2238,36.0288,
May,5,110.053,90.6387,107.3288,154.9547,110.3285,169.5538,156.25,198.1113,150.1167,182.7173,
Jun,6,121.367,119.2786,117.1493,121.5976,147.105,129.6223,141.0024,127.7102,145.0637,144.2636,
Jul,7,165.338,196.1847,155.7352,232.219,162.0734,179.2471,134.1848,209.1669,197.8101,88.5136,
Aug,8,172.111,169.3143,149.6312,199.8687,146.0495,158.2193,159.2937,113.7371,167.9001,194.8916,
Sep,9,119.6154,133.9424,141.8332,115.2567,163.2086,114.0118,138.2958,86.4722,138.5474,,
Oct,10,70.7041,76.1574,89.9132,72.0149,60.0432,83.9379,96.3623,62.2629,83.4743,,
Nov,11,6.5284,9.0408,1.6313,8.4348,7.8773,5.1662,5.989,1.2173,4.0822,,
Dec,12,0.3773,,,,0.0277,,0.6283,0.1179,0.0523,
