Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.1241,,,,,,,,,,
Feb,2,0.2224,,,,,,,,,,
Mar,3,3.6078,3.4014,2.193,2.3246,3.4663,4.5845,7.193,10.4764,3.5987,6.5331,
Apr,4,13.9364,10.9032,6.2687,5.4408,10.7918,38.1229,8.0946,20.786,10.4431,8.5189,
May,5,61.2248,49.3754,85.2918,57.172,84.0116,83.2198,35.5667,69.7215,64.5774,64.0894,
Jun,6,125.3917,107.7217,128.0859,155.6585,146.4015,143.6902,131.5597,122.3098,138.7638,115.4359,
Jul,7,154.9666,157.4443,155.1414,168.8005,143.8503,196.5449,143.3556,175.0042,186.5029,154.7574,
Aug,8,197.045,204.6798,208.9551,196.7172,229.3838,204.708,183.286,143.9662,228.1509,245.3794,
Sep,9,133.5125,114.3196,195.3374,119.9719,171.2532,134.5466,124.7236,127.3592,136.3935,,
Oct,10,77.5912,150.9276,74.9501,73.9168,28.8573,64.3082,111.3944,85.9503,45.2024,,
Nov,11,4.1009,1.8812,1.6633,14.0253,2.338,1.2698,2.6988,1.259,1.8509,,
Dec,12,0.1724,,,,,,,,,
