Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.3051,,,,,,,,,,
Feb,2,0.843,0.482,0.304,0.304,0.3791,0.4586,0.3791,0.3791,0.3791,0.8106,
Mar,3,9.4648,9.8093,6.0066,6.5349,9.9675,11.532,19.5969,21.9995,10.9088,18.3304,
Apr,4,34.3336,21.6793,13.5855,28.1435,24.3115,84.2371,17.2837,53.0892,28.931,31.4935,
May,5,86.5503,91.0574,87.5917,85.6168,135.0793,141.6115,60.3978,128.3196,99.2595,85.1395,
Jun,6,136.7575,171.7198,145.6039,169.9037,180.945,143.0071,140.5519,143.8406,132.5507,152.5569,
Jul,7,176.3174,183.5902,190.605,195.202,169.1667,184.1932,170.3688,187.9194,197.171,207.3943,
Aug,8,187.0282,208.89,224.01,198.9969,188.3306,176.5922,216.459,176.2172,214.4692,206.0279,
Sep,9,134.0353,118.3137,180.3173,122.7219,189.7076,145.2026,136.5896,117.6624,139.2873,,
Oct,10,70.0104,109.5087,81.4886,72.2356,43.7724,60.6501,110.3879,68.627,56.9446,,
Nov,11,6.2461,4.4035,2.4444,15.8915,2.8036,2.9118,3.4133,2.1367,8.4477,,
Dec,12,0.3471,,,,,,,,,
