Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.2027,,,,,,,,,,
Feb,2,0.5628,0.1918,0.0548,0.0548,0.1243,0.1341,0.1259,0.1243,0.1243,0.3909,
Mar,3,8.3241,8.8068,5.2746,5.4684,7.4694,8.0703,17.3981,20.5721,8.1227,13.9407,
Apr,4,37.3499,26.6218,18.174,33.4615,26.8071,86.0229,21.6874,62.4651,28.9297,33.679,
May,5,95.2501,93.5379,94.836,84.9457,141.7807,158.7983,75.1834,129.3562,109.8431,98.5751,
Jun,6,136.401,170.0371,151.3583,176.1341,183.9291,130.6885,130.7004,138.7875,129.0848,145.5849,
Jul,7,173.0556,177.972,179.7956,186.698,181.8872,165.2254,184.8275,202.0883,191.2631,207.7344,
Aug,8,189.9732,202.3611,220.9817,217.8347,211.4313,166.7103,214.2538,173.0488,209.8873,205.437,
Sep,9,128.1901,113.6371,149.258,127.2387,181.5054,133.4796,131.118,111.3194,133.0469,,
Oct,10,69.7954,124.6459,76.8816,73.6114,35.9246,54.0035,115.1477,71.9702,55.3478,,
Nov,11,5.8117,5.4985,2.2991,12.8974,3.1204,2.6145,2.9842,1.918,7.7121,,
Dec,12,0.3094,,,,,,,,,
