Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.2185,0.8637,0.8552,0.8552,1.513,1.2984,0.8962,0.8962,0.8962,0.8962,
Feb,2,0.8872,1.0311,0.1129,0.2278,0.165,1.4618,1.2384,0.309,0.1805,1.5827,
Mar,3,13.4881,16.7141,8.4475,9.1473,11.7827,17.3157,27.7744,31.8924,10.3352,34.2839,
Apr,4,52.1154,33.1382,22.4078,54.2334,25.6496,117.6053,28.9203,79.6218,46.2421,52.71,
May,5,94.3036,115.95,101.4997,103.0757,142.3951,128.7124,74.906,137.5247,95.1019,103.6964,
Jun,6,139.319,181.1319,177.2671,169.0987,201.9359,137.3074,148.1324,172.6167,124.7809,133.7182,
Jul,7,182.6722,178.6828,203.2865,239.2347,157.0536,180.1668,166.1741,210.6419,192.3538,170.3102,
Aug,8,184.1468,193.7622,202.6306,228.8232,148.0682,149.6284,195.0809,152.8192,211.6151,191.223,
Sep,9,142.8916,149.4279,160.2422,139.4601,194.149,162.3053,148.6569,118.8277,150.135,,
Oct,10,77.2688,92.9978,95.3927,87.2593,66.0909,94.5852,85.4875,73.5291,63.7413,,
Nov,11,6.6084,8.6158,2.0109,13.5575,3.0557,3.1973,5.8836,2.1572,9.6779,,
Dec,12,0.3541,,,,,,,,,
