Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.636,0.0893,0.0857,0.0917,0.3703,0.1957,0.1057,0.1057,0.1057,0.1057,
Feb,2,0.9574,0.9671,0.4311,0.5278,0.4999,1.4609,0.8291,0.503,0.4999,1.3442,
Mar,3,11.6718,14.6671,6.3733,7.2176,12.3494,14.8309,24.0118,27.8075,11.037,27.2689,
Apr,4,41.4754,25.3485,15.5699,40.1506,23.8403,94.3403,19.1317,62.4722,37.7972,43.1357,
May,5,92.2514,114.8985,97.3611,99.5717,152.8738,137.9113,77.684,134.2335,100.2023,92.764,
Jun,6,142.0228,176.6732,164.3749,172.6534,202.2027,151.2595,150.1367,164.5708,133.0618,146.0612,
Jul,7,180.0469,183.706,197.3623,214.06,163.5005,182.9189,174.2654,186.2369,202.3904,199.7517,
Aug,8,188.0326,212.5704,212.056,221.2686,165.1884,168.3829,216.0941,180.2177,214.8036,198.2955,
Sep,9,140.4942,136.2048,177.278,129.8889,198.6686,159.0799,144.8844,117.6261,154.6545,,
Oct,10,80.3547,108.8638,94.206,91.7551,59.327,82.3929,107.5273,72.614,63.7692,,
Nov,11,7.7949,7.1335,2.5085,16.4759,3.3724,4.4169,6.326,2.4642,10.4677,,
Dec,12,0.4127,,,,,,,,,
