Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.2759,1.0612,0.8624,0.969,1.5714,1.6655,1.0865,0.9448,0.9448,0.9448,
Feb,2,2.6162,5.1193,2.0073,2.5339,2.2566,3.9757,4.0587,2.2653,2.4295,6.1477,
Mar,3,21.655,24.8999,11.5717,13.0968,28.7575,36.7443,42.6689,65.7339,19.1618,60.0819,
Apr,4,75.4478,59.6138,25.3717,71.356,47.7381,154.8552,55.2684,115.5605,90.8433,70.5119,
May,5,119.0442,127.7143,125.8102,139.1567,182.771,146.7499,142.3935,158.001,112.9097,139.7132,
Jun,6,168.8341,196.1237,209.7222,202.5254,258.0888,186.4947,170.0884,209.0752,125.1412,181.3752,
Jul,7,177.0821,165.964,187.7001,224.0962,167.5638,151.6708,179.5022,229.654,199.2824,187.2369,
Aug,8,191.0139,196.2455,207.0325,253.4568,175.7956,142.1426,193.8115,179.4649,190.4149,184.3071,
Sep,9,140.4315,142.4244,162.3142,135.6641,205.6664,186.4679,121.5645,138.6906,165.1546,,
Oct,10,90.7469,116.2192,97.9399,119.4927,83.3116,112.2958,122.1442,78.2408,87.2341,,
Nov,11,13.6972,19.7922,7.7709,22.412,9.4372,8.6664,12.7985,8.4008,14.2937,,
Dec,12,0.7006,,,,0.6046,0.0139,0.0139,0.0432,0.0139,
