Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.2229,,,,,,,,,,
Feb,2,0.6215,0.2222,0.2222,0.2222,0.2318,0.2318,0.2318,0.2318,0.2318,0.2318,
Mar,3,5.7964,4.8768,3.6431,4.1725,7.5746,5.8834,12.2789,14.6133,6.2599,11.742,
Apr,4,24.4946,18.4987,10.3586,12.9457,19.4484,70.1632,13.7563,35.7501,17.2558,19.6977,
May,5,81.0399,74.6429,98.6681,74.9163,113.9319,126.431,49.3605,106.5874,93.9088,77.317,
Jun,6,128.159,136.8779,130.9512,156.4532,170.8904,117.7964,134.846,125.7056,120.5896,147.7619,
Jul,7,166.5305,169.7383,187.357,194.1385,160.1358,177.3877,143.0204,184.1795,186.0889,180.0221,
Aug,8,182.612,188.5967,217.5664,185.6351,207.0333,184.009,201.1066,139.2008,214.7274,215.1989,
Sep,9,129.7029,104.6317,169.0814,112.3184,170.3232,123.5102,122.8581,109.56,123.9784,,
Oct,10,63.2558,127.5219,65.5787,60.0171,27.6,47.9038,104.6248,66.5083,50.351,,
Nov,11,3.4318,1.8895,1.7314,10.9245,1.6778,1.4911,2.6391,1.4832,4.3425,,
Dec,12,0.1669,,,,,,,,,
