Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.6955,0.3266,0.1829,0.2073,0.4461,0.5789,0.3367,0.2871,0.2844,0.2844,
Feb,2,2.4207,4.1657,1.8923,2.2682,2.1493,3.6506,3.588,2.202,2.4025,5.4866,
Mar,3,19.7217,25.661,10.0419,10.5097,21.4922,28.4494,39.9893,57.3798,19.3301,49.1544,
Apr,4,60.4099,46.1899,26.6051,60.5718,35.1347,116.2842,35.3026,96.2497,66.5283,57.9642,
May,5,114.4564,122.943,112.4206,121.4794,185.2778,156.1386,136.88,157.1172,115.7178,123.1289,
Jun,6,161.7225,193.6059,192.0334,207.2874,241.2925,176.1093,164.6776,192.4301,139.3748,187.1811,
Jul,7,175.9692,187.1113,175.2844,194.2151,177.1644,152.6704,201.4139,192.5432,190.1857,207.0786,
Aug,8,194.2647,203.3003,208.4702,237.4334,196.4357,162.6293,210.1656,195.9097,199.9766,188.9182,
Sep,9,148.014,148.8577,158.7116,162.767,209.8948,190.8831,150.4027,140.8778,173.1269,,
Oct,10,116.0106,174.7934,123.4195,156.1068,86.2921,109.3924,162.3149,102.7217,93.1811,,
Nov,11,13.9891,20.3761,5.3361,17.3627,10.1336,9.5944,10.2073,6.1941,18.4975,,
Dec,12,0.7335,0.0365,0.019,0.019,0.6697,0.0327,0.0432,0.1557,0.0327,
