Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.6123,0.5283,0.3863,0.3814,0.4687,0.5241,0.4717,0.478,0.4948,0.4618,
Feb,2,1.5306,1.4464,1.3922,1.0884,1.0802,1.4094,1.6556,1.0489,1.0376,3.6934,
Mar,3,15.0855,17.1522,5.4343,6.7942,21.2079,20.2819,29.2163,32.0864,13.1658,31.3214,
Apr,4,34.3825,26.9344,23.0663,32.263,21.6206,62.648,13.331,45.0102,33.2098,20.1288,
May,5,111.7063,104.2241,105.7973,114.2103,122.6333,136.3212,125.2406,97.0568,135.8217,134.9086,
Jun,6,174.6046,161.1945,175.1939,189.8325,221.2322,158.3326,181.1975,195.3626,155.9663,182.2046,
Jul,7,243.956,249.0561,227.7411,228.2379,258.2435,215.8457,247.1051,241.9969,234.9715,274.611,
Aug,8,253.4071,251.7665,260.3756,255.4421,258.2094,221.608,216.9713,206.124,245.2383,276.0378,
Sep,9,169.5288,160.3156,162.2454,187.0384,192.0203,187.8112,138.6079,135.6444,171.5864,,
Oct,10,92.7204,140.744,97.8282,138.1829,44.3831,75.5805,146.192,77.4792,56.45,,
Nov,11,22.0418,24.3731,10.532,26.5407,17.771,17.5649,15.3253,23.0548,20.6497,,
Dec,12,1.1973,0.9582,0.9558,0.9564,1.2368,1.2178,1.337,1.2063,1.2284,
