Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.1407,1.0427,0.8182,0.8309,1.1782,1.1586,1.0179,0.9604,0.9562,0.9562,
Feb,2,4.5651,7.0193,4.0756,3.8301,3.689,5.3221,7.3471,3.7825,3.6408,11.6563,
Mar,3,29.7935,36.0409,12.0164,14.2735,44.766,41.5506,58.0308,80.1848,25.0403,67.8524,
Apr,4,68.903,51.6494,43.9467,71.6285,38.2759,108.8415,44.2331,99.1769,76.4624,60.5405,
May,5,132.6512,141.1193,140.4735,138.23,194.1116,167.0036,152.522,167.5478,150.8233,140.8279,
Jun,6,171.2154,187.5271,192.4713,204.3757,243.8348,176.1651,184.0107,202.2647,151.0036,198.1096,
Jul,7,191.0534,204.2734,203.4956,196.1153,193.7916,158.124,215.3802,190.557,198.2341,231.2294,
Aug,8,215.2358,211.3614,230.6986,235.1519,216.5894,164.7169,227.2774,205.0787,209.6548,199.6374,
Sep,9,172.3351,180.5111,165.3559,198.5369,235.3236,222.8625,157.3802,152.3801,201.9953,,
Oct,10,147.1294,180.0068,155.347,217.913,120.7943,159.6473,212.1071,137.4295,117.3545,,
Nov,11,27.3727,41.559,8.7836,28.0241,30.0486,25.9509,17.959,20.6007,32.3014,,
Dec,12,1.3409,1.1885,0.9899,0.9899,1.8521,1.4601,1.352,1.6861,1.352,
