Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,6.2824,7.0356,3.2049,4.6322,13.2869,8.864,8.4519,3.586,3.8528,3.1418,
Feb,2,16.1011,29.5137,20.6082,16.1037,13.3528,14.9205,22.6677,5.037,6.3562,27.5321,
Mar,3,72.8316,83.9604,28.2279,43.8379,99.259,109.6267,115.9713,170.5218,71.8599,106.6609,
Apr,4,113.3202,149.8441,93.7357,101.9769,111.5693,139.4417,76.5738,135.9752,143.3657,119.0394,
May,5,171.7528,184.0821,181.9059,194.317,169.4395,186.1912,211.8433,173.9118,171.6655,190.666,
Jun,6,207.9741,210.2174,218.9886,217.4621,288.9688,197.2165,176.9218,190.39,152.6087,205.1591,
Jul,7,170.0312,162.1464,193.1856,202.4107,173.7028,128.6079,151.7359,161.0685,173.7455,192.8889,
Aug,8,222.9414,225.5018,260.9228,250.3868,241.4607,169.1266,232.7102,196.9009,202.9629,194.9506,
Sep,9,185.6866,186.116,181.7204,177.007,220.3384,208.6877,174.7376,166.2297,209.9656,,
Oct,10,177.8592,150.5014,216.6606,242.7148,181.4673,180.4053,208.7051,153.6968,158.1625,,
Nov,11,45.6236,57.8468,33.7467,46.2986,56.7446,44.3141,37.8237,48.6472,40.7344,,
Dec,12,4.959,5.2275,2.57,4.5105,8.0051,5.4211,3.5077,5.6735,3.4012,
