Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,8.0328,9.3959,5.1159,6.5652,14.4461,10.9406,11.0554,4.6102,5.8387,4.1573,
Feb,2,15.0238,27.8085,12.5781,13.2491,11.7454,12.9305,25.538,7.3518,10.2465,22.4217,
Mar,3,69.2107,68.6933,29.2736,39.9287,117.1748,106.4037,104.1853,163.6992,56.5686,122.0496,
Apr,4,130.7692,151.6413,98.8968,124.4847,124.9295,159.2628,84.0539,180.915,150.1442,167.0244,
May,5,181.8576,208.0007,183.6115,213.6925,176.3899,203.9007,209.2664,181.1327,184.6232,195.7309,
Jun,6,197.2396,167.3998,207.9354,226.8274,268.2595,193.6779,209.7178,194.5895,152.7497,204.8847,
Jul,7,176.3467,160.6381,224.7195,228.5611,165.6394,143.4386,152.514,213.6777,193.8536,187.7366,
Aug,8,216.5661,205.6671,258.4956,248.3798,213.8209,208.8263,196.3074,204.7097,217.9286,213.6439,
Sep,9,168.8415,179.6636,172.4265,168.0054,203.1985,197.5534,144.1317,149.8228,196.8854,,
Oct,10,189.6426,191.7854,235.4702,230.3722,199.972,213.3127,195.909,119.9208,148.7712,,
Nov,11,54.1774,70.8605,40.4051,71.6731,50.1756,53.5431,51.9082,53.5814,46.021,,
Dec,12,6.8393,6.3012,3.5328,7.1348,14.2711,6.4907,7.2431,5.7511,4.6103,
