Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,8.0646,9.4549,4.6257,6.5018,14.8621,11.186,9.2838,5.4388,5.6088,4.9046,
Feb,2,14.1257,29.2079,8.8877,11.3752,10.3438,13.0816,23.904,8.7653,9.5402,21.2088,
Mar,3,63.9623,60.5366,37.536,44.8202,106.0283,96.2198,99.3372,126.3742,43.0424,109.3257,
Apr,4,132.1596,156.502,93.4088,143.3261,124.1219,168.1851,90.0736,191.078,138.4441,156.3932,
May,5,171.4768,204.3647,178.4086,179.4207,157.4054,178.3201,176.0256,179.7399,181.6031,184.0786,
Jun,6,204.7009,189.4123,204.5442,237.8269,255.6939,181.7581,217.4694,200.7329,165.6744,197.8696,
Jul,7,172.5337,163.2477,260.4485,249.9037,162.7462,135.2406,121.3573,211.3561,187.9578,158.6995,
Aug,8,206.9297,188.0881,237.7132,240.2946,189.2192,207.5296,169.3082,171.4321,210.1535,206.4529,
Sep,9,160.4003,160.3432,186.0055,169.0449,184.925,180.2335,112.9742,125.7638,194.7997,,
Oct,10,173.8718,202.1645,208.7552,190.6172,180.2067,190.1789,202.0718,110.6885,154.1472,,
Nov,11,51.3217,55.8177,35.6671,76.1574,43.9129,50.0239,56.9705,51.1407,41.4972,,
Dec,12,7.2745,6.1848,4.0913,7.6505,16.4379,6.7433,6.2475,5.8719,5.0969,
