Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,4.4759,3.1007,2.7354,2.9889,9.0026,4.9808,3.534,3.4555,3.3485,2.995,
Feb,2,8.549,21.4933,4.7184,7.7904,6.5567,8.2712,13.7443,6.4546,8.2686,10.2043,
Mar,3,44.0602,42.1774,32.4223,25.354,63.2748,62.3736,70.9595,70.8323,27.211,101.9747,
Apr,4,100.3941,121.0126,54.5616,113.8676,106.8515,141.1572,67.3904,174.0537,88.2962,116.2209,
May,5,134.4416,187.5077,143.9834,115.3192,119.1874,149.0765,124.4199,133.2917,136.1522,152.9644,
Jun,6,156.8815,163.0629,156.0686,170.3279,195.0034,116.0116,189.8589,161.0889,155.5093,128.7469,
Jul,7,144.0862,183.0885,204.3601,210.788,166.938,115.1746,117.2365,170.6318,153.3616,120.8304,
Aug,8,161.7517,144.2131,166.1504,205.2503,125.3824,154.8132,109.9951,115.2384,179.8496,169.6665,
Sep,9,128.8614,118.2567,167.9062,157.4562,139.3802,128.207,120.4069,99.911,161.0673,,
Oct,10,146.8682,149.0468,178.7373,151.1736,161.1538,132.6257,213.3231,93.7897,137.5635,,
Nov,11,44.4975,39.5529,32.4428,76.2878,46.075,36.3958,65.0266,60.0514,45.2456,,
Dec,12,5.4898,3.7608,2.646,6.3245,13.9233,3.6809,4.3547,5.4206,2.9499,
