Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,6.1864,6.4539,3.6218,5.4161,12.0192,7.727,5.7297,4.1589,4.0897,3.8745,
Feb,2,11.0567,24.7818,6.3549,8.6145,8.0405,11.8245,18.624,7.6408,8.2632,15.6825,
Mar,3,51.2055,44.737,34.3847,32.559,86.4025,78.4655,88.5514,95.9045,31.5373,107.6779,
Apr,4,111.5095,137.0598,71.5833,124.2141,110.0015,151.997,75.5737,176.4907,116.5928,129.9976,
May,5,150.3328,192.7107,157.2449,139.2983,134.3598,159.608,141.1872,161.3915,158.8357,165.7746,
Jun,6,182.6977,177.9617,167.135,203.8089,233.9643,160.1559,196.7976,178.3998,160.0805,166.8767,
Jul,7,157.2391,176.5992,243.8962,242.2512,164.4392,120.5086,114.9975,191.5665,164.4113,131.0074,
Aug,8,188.3223,171.219,201.7376,238.0234,152.0349,180.3401,139.3591,141.5802,191.2857,190.2526,
Sep,9,141.7542,124.9492,176.4419,176.5202,156.214,145.6275,118.657,107.9156,178.1417,,
Oct,10,150.4206,164.1952,173.1844,155.313,161.6165,165.3863,197.922,105.5901,140.7143,,
Nov,11,48.1698,42.537,35.9252,73.7109,45.744,39.0547,61.2949,57.7252,41.538,,
Dec,12,6.0317,4.763,3.1336,6.8076,14.3221,4.8069,5.5756,5.749,3.5998,
