Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,3.048,3.1957,1.8522,2.739,5.2803,4.069,3.0563,1.9842,2.0675,1.9827,
Feb,2,6.2783,11.2868,4.1425,6.0085,4.474,6.4713,10.1824,4.5823,4.7504,9.808,
Mar,3,40.6414,33.4306,25.1514,15.1177,53.7322,67.0471,81.3574,101.072,21.8248,108.3199,
Apr,4,90.0519,90.5886,45.4227,97.197,78.8098,142.1945,66.9622,137.5915,103.007,95.781,
May,5,156.5387,184.8174,143.7376,140.9303,149.4749,170.883,147.7855,150.5386,164.7765,151.6988,
Jun,6,174.3812,167.0531,180.3465,208.9153,227.3586,164.9552,188.5134,177.7224,142.7377,154.4903,
Jul,7,147.6434,153.6155,208.3296,234.6549,145.251,111.8688,109.6288,196.4423,157.9929,119.2379,
Aug,8,186.5335,172.9788,202.7284,224.7351,150.2108,162.0355,139.4766,127.1745,202.0875,170.8,
Sep,9,129.1318,121.3551,142.119,137.4067,155.2367,120.5805,121.4771,107.8161,145.22,,
Oct,10,115.1002,124.2985,126.501,113.1927,126.2639,120.7104,139.094,76.4442,105.5843,,
Nov,11,26.0012,22.9211,22.0582,44.6113,28.0491,19.6128,27.1198,32.234,19.0548,,
Dec,12,3.0042,1.6648,1.423,2.2619,7.9769,1.9206,3.6983,2.7818,2.0937,
