Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.9068,1.7979,0.8456,1.2981,2.6686,3.1174,3.1342,1.0336,1.0575,1.0176,
Feb,2,7.5842,13.1584,7.0757,5.5333,5.5424,8.0989,12.0564,5.3566,5.2996,15.8399,
Mar,3,34.5897,38.3252,13.4458,22.0075,47.1005,57.9161,65.7651,93.9592,35.7661,80.8797,
Apr,4,84.2684,90.0309,58.3177,82.131,66.2673,116.7203,61.7704,104.4572,103.4168,68.9565,
May,5,155.4376,148.3316,171.7831,170.5246,206.631,175.5824,190.5008,183.1312,155.2577,166.0971,
Jun,6,193.3969,209.5231,231.6303,212.3656,273.2728,209.1972,181.0355,227.0939,150.2461,215.9913,
Jul,7,179.9221,173.7436,196.247,214.6075,187.4815,152.0072,202.2602,186.1401,189.5001,212.7517,
Aug,8,213.5757,209.3468,242.9197,240.7619,204.1327,169.5158,225.8917,222.9136,223.6505,203.8444,
Sep,9,166.6556,161.8968,159.1001,177.8158,227.5886,206.6531,151.2261,162.4519,203.7576,,
Oct,10,163.5821,173.3365,171.1308,252.7233,158.5556,186.4387,200.2738,143.2695,156.8233,,
Nov,11,26.8923,37.5446,16.4269,27.7309,26.0685,24.4147,16.7936,28.6951,33.7459,,
Dec,12,1.4787,2.211,0.7318,0.7425,2.8522,1.1527,1.3695,2.8315,1.083,
