Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,6.8463,6.9587,3.0179,5.2616,13.6552,9.2449,9.1825,4.2691,5.159,3.0995,
Feb,2,15.5485,28.3012,18.2784,14.8453,13.323,13.3123,22.9941,4.9965,6.8156,24.2718,
Mar,3,71.7926,76.6039,26.482,41.4975,102.3999,107.7042,108.0784,174.9494,61.2591,110.1654,
Apr,4,125.9924,163.7254,100.511,108.8543,125.5037,154.4869,84.9065,148.4539,156.9342,128.9838,
May,5,170.9791,187.6014,170.9007,210.2014,172.0455,198.7242,204.6923,177.4891,171.7406,199.7792,
Jun,6,202.043,187.8832,204.0928,213.1183,290.1896,192.0984,185.6384,190.157,139.0281,198.3833,
Jul,7,172.1741,168.1671,188.8855,203.1493,175.7626,135.366,154.1834,164.9806,179.0821,188.8047,
Aug,8,218.6504,213.216,259.0095,245.9217,238.9047,183.8459,217.5913,204.2879,215.5293,201.0286,
Sep,9,177.6002,180.4612,174.7652,174.5588,217.3258,207.8681,159.9216,164.0127,196.4079,,
Oct,10,191.5129,167.1711,227.9911,261.5232,198.1011,191.5873,209.0989,150.4909,153.1149,,
Nov,11,45.0351,56.5795,30.5175,51.4179,53.8524,42.2298,43.3279,48.5415,44.5155,,
Dec,12,6.143,6.5911,2.9599,5.7033,9.7821,6.0109,4.8064,5.5147,3.6118,
