Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,3.8938,4.528,1.8859,2.4473,6.4943,5.8189,5.6421,2.011,2.1445,1.9815,
Feb,2,12.4755,21.5468,14.9227,12.5704,8.5086,13.379,19.4396,5.9531,5.8073,25.4514,
Mar,3,50.0697,61.0203,21.558,31.2685,61.9956,72.4757,86.8785,124.6433,48.8565,87.6937,
Apr,4,96.6595,109.3873,88.8439,89.8478,84.6972,133.6072,73.4677,105.0728,119.8783,79.988,
May,5,174.3335,164.8835,191.4482,180.6812,208.1871,195.3451,214.4767,191.5467,202.8206,189.9169,
Jun,6,210.3644,220.1716,224.8185,210.1977,283.5494,208.0974,190.4137,206.6065,181.3799,206.6779,
Jul,7,179.8615,177.4621,217.0497,204.9849,195.1486,147.3548,180.1869,165.6588,178.0632,204.0299,
Aug,8,223.8508,232.0454,243.6699,243.3185,231.6868,170.7166,243.689,216.5007,219.2647,208.5201,
Sep,9,194.8332,187.8737,190.36,201.1888,241.3316,222.262,169.1613,179.7503,231.3203,,
Oct,10,188.6755,165.3916,203.0406,259.4833,177.2768,214.9503,218.1322,157.5388,158.9891,,
Nov,11,40.7483,56.8867,22.6608,41.8759,42.7761,42.3727,21.6797,36.1313,38.1664,,
Dec,12,2.8241,3.6267,1.3368,1.6874,5.0528,3.3899,2.945,4.3591,2.06,
