Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,7.8802,8.411,3.8217,4.8677,15.8957,10.3203,11.2215,4.3089,6.0596,3.4623,
Feb,2,15.7899,27.3379,15.9034,15.0844,12.2346,12.5905,25.6905,6.1382,8.6529,24.3273,
Mar,3,71.6166,74.3162,26.0592,39.4594,110.4323,104.9953,113.3366,171.1243,60.2955,112.0125,
Apr,4,130.928,164.5568,100.6798,118.7635,135.1155,158.9326,86.8651,162.088,156.3478,140.2571,
May,5,182.3878,207.3571,184.0302,227.9156,174.0215,211.6188,209.9297,182.9263,178.847,205.116,
Jun,6,191.351,170.3973,191.181,210.8989,268.3676,175.3179,184.5044,174.2916,128.2478,189.0914,
Jul,7,172.4887,172.4057,193.123,209.1075,166.2486,140.8755,158.9418,182.3857,182.0016,187.0406,
Aug,8,220.7764,212.9874,265.5236,249.8486,234.2439,198.3755,202.2171,204.0201,218.5769,206.912,
Sep,9,173.9137,187.4268,171.0414,162.5775,213.4956,196.9164,158.5245,152.0136,190.0774,,
Oct,10,187.1021,160.9722,233.5025,245.1754,195.0762,190.7262,190.0456,138.1482,144.9683,,
Nov,11,51.8968,70.9096,38.4879,58.6961,53.7385,50.2762,46.739,55.077,46.6369,,
Dec,12,6.1634,6.2496,2.8136,5.4515,10.2853,5.8492,5.7236,4.8369,3.5734,
