Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0072,,,,,,,,,,
Feb,2,0.2784,,,,,,,,,,
Mar,3,3.9553,3.6913,2.8811,3.3124,4.3302,4.5839,8.1867,7.2703,3.3697,3.7833,
Apr,4,31.8609,14.9829,7.4927,25.0075,9.5132,76.3477,12.9385,58.1416,27.0009,21.7495,
May,5,82.2348,91.0717,88.125,98.622,105.1193,130.0917,78.5085,149.2133,122.4595,147.6987,
Jun,6,128.9022,127.5713,149.3068,149.76,220.5521,147.9937,153.5519,130.494,169.4725,169.8092,
Jul,7,167.2904,201.1355,206.7807,241.8917,139.6078,227.4656,165.7002,189.5119,217.7542,131.5255,
Aug,8,177.3267,232.1178,200.9248,220.6007,160.8397,170.1625,207.3595,130.5004,205.4187,200.226,
Sep,9,123.5612,154.2441,154.6386,116.2483,156.8481,144.6921,155.9118,121.151,162.3884,,
Oct,10,81.5719,106.4031,105.8658,82.0445,77.4455,77.3652,108.884,64.9419,81.9938,,
Nov,11,10.0352,9.1774,2.5772,18.359,4.1765,5.4799,2.6968,2.1011,11.5988,,
Dec,12,0.5021,,,,,,0.8336,,,
