Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3498,0.3681,0.4074,0.3118,0.3437,
,2,0.3222,0.3323,0.3578,0.2839,0.3125,
,3,0.3162,0.3189,0.3296,0.2734,0.3033,
Feb,4,0.3147,0.3192,0.323,0.276,0.2995,
,5,0.3194,0.3235,0.3196,0.2853,0.2987,
,6,0.3234,0.3281,0.3195,0.2943,0.3014,
Mar,7,0.3356,0.3434,0.3221,0.3021,0.3285,
,8,0.3617,0.3694,0.3271,0.3031,0.3871,
,9,0.4003,0.4084,0.3388,0.3017,0.4558,
Apr,10,0.4417,0.4666,0.3561,0.2996,0.5222,
,11,0.4841,0.5444,0.3924,0.2974,0.5759,
,12,0.5263,0.6207,0.4562,0.2981,0.6236,
May,13,0.5813,0.6874,0.5475,0.4155,0.6637,
,14,0.6418,0.7258,0.6258,0.5197,0.6936,
,15,0.6985,0.7411,0.6783,0.6181,0.7232,
Jun,16,0.7372,0.7435,0.6882,0.6758,0.7398,
,17,0.7538,0.7436,0.6807,0.706,0.7496,
,18,0.7564,0.7465,0.6764,0.7235,0.7573,
Jul,19,0.7591,0.7427,0.6989,0.7347,0.7645,
,20,0.7623,0.7371,0.7313,0.7412,0.7648,
,21,0.7661,0.7349,0.7551,0.7481,0.7523,
Aug,22,0.7641,0.7349,0.7668,0.7624,0.7367,
,23,0.7584,0.7342,0.7717,0.7685,0.7278,
,24,0.7521,0.7248,0.7689,0.767,0.7328,
Sep,25,0.748,0.7042,0.7577,0.7689,0.7325,
,26,0.7447,0.6774,0.7351,0.7646,0.7355,
,27,0.7339,0.649,0.7108,0.7591,,
Oct,28,0.7148,0.6216,0.6921,0.7425,,
,29,0.6943,0.5954,0.6741,0.721,,
,30,0.6733,0.5733,0.6525,0.7024,,
Nov,31,0.652,0.5679,0.6201,0.6824,,
,32,0.6281,0.5774,0.578,0.6518,,
,33,0.5944,0.587,0.5289,0.6047,,
Dec,34,0.5481,0.5797,0.4743,0.5435,,
,35,0.4883,0.5382,0.4158,0.4722,,
,36,0.4244,0.4734,0.3579,0.4004,
