Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4387,0.4464,0.484,0.3973,0.4209,
,2,0.4038,0.3908,0.4214,0.3505,0.3681,
,3,0.3893,0.3618,0.3817,0.3245,0.3382,
Feb,4,0.3862,0.3572,0.3692,0.3229,0.3312,
,5,0.3937,0.3671,0.3647,0.34,0.3398,
,6,0.4051,0.3853,0.3676,0.3612,0.3681,
Mar,7,0.4235,0.4081,0.3769,0.3874,0.4191,
,8,0.4565,0.4379,0.3988,0.417,0.504,
,9,0.5005,0.4827,0.4384,0.441,0.6055,
Apr,10,0.5446,0.5412,0.482,0.4627,0.6907,
,11,0.5883,0.6136,0.5374,0.4821,0.7422,
,12,0.6289,0.6862,0.6031,0.4968,0.7747,
May,13,0.671,0.7395,0.6786,0.5762,0.7969,
,14,0.7111,0.7663,0.7396,0.6601,0.8096,
,15,0.7447,0.7736,0.7728,0.7328,0.8149,
Jun,16,0.7638,0.7705,0.7691,0.7654,0.8104,
,17,0.772,0.7641,0.7544,0.7764,0.8057,
,18,0.773,0.7644,0.7418,0.7729,0.8055,
Jul,19,0.7737,0.7604,0.7478,0.7611,0.8071,
,20,0.7763,0.755,0.7571,0.7371,0.7993,
,21,0.7796,0.7523,0.763,0.7309,0.7775,
Aug,22,0.7804,0.7525,0.7707,0.7622,0.7579,
,23,0.7818,0.7547,0.7803,0.7883,0.7531,
,24,0.7799,0.7524,0.7864,0.7916,0.7633,
Sep,25,0.7735,0.7425,0.7872,0.7858,0.7598,
,26,0.7652,0.728,0.774,0.7767,0.7617,
,27,0.755,0.7096,0.7595,0.7752,,
Oct,28,0.7421,0.6919,0.7476,0.7692,,
,29,0.7352,0.6787,0.7336,0.7524,,
,30,0.7292,0.6731,0.7132,0.7459,,
Nov,31,0.7229,0.6746,0.6817,0.7337,,
,32,0.7099,0.6804,0.6418,0.7153,,
,33,0.6868,0.6764,0.6026,0.6784,,
Dec,34,0.6467,0.6604,0.5614,0.6232,,
,35,0.5884,0.6189,0.5144,0.558,,
,36,0.5178,0.555,0.4565,0.4891,
