Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.458,0.4482,0.4864,0.4716,0.4113,
,2,0.4242,0.4079,0.4328,0.4214,0.3733,
,3,0.4144,0.3934,0.4043,0.3921,0.3664,
Feb,4,0.4248,0.403,0.4039,0.3967,0.3683,
,5,0.4537,0.4328,0.4154,0.4361,0.3795,
,6,0.4874,0.4734,0.4422,0.4806,0.3985,
Mar,7,0.521,0.5155,0.48,0.5249,0.4549,
,8,0.5595,0.5627,0.5267,0.55,0.544,
,9,0.5998,0.6079,0.5791,0.5614,0.6177,
Apr,10,0.6367,0.6451,0.6107,0.568,0.6678,
,11,0.6698,0.683,0.6317,0.5759,0.6914,
,12,0.7016,0.7245,0.6656,0.5874,0.7264,
May,13,0.735,0.766,0.7137,0.6893,0.7697,
,14,0.7619,0.7934,0.7627,0.7481,0.7924,
,15,0.7778,0.8013,0.7895,0.7864,0.7939,
Jun,16,0.7771,0.7921,0.7768,0.7921,0.7887,
,17,0.7795,0.7753,0.7373,0.7807,0.7877,
,18,0.7809,0.7705,0.7128,0.7543,0.7846,
Jul,19,0.7863,0.7714,0.704,0.7215,0.7776,
,20,0.7803,0.7751,0.7195,0.7005,0.7734,
,21,0.7687,0.7776,0.7387,0.706,0.7708,
Aug,22,0.7491,0.7767,0.7547,0.7562,0.7699,
,23,0.7377,0.7784,0.7731,0.7847,0.7709,
,24,0.7303,0.7802,0.7838,0.7721,0.7751,
Sep,25,0.7283,0.7793,0.7849,0.7717,0.769,
,26,0.7327,0.7714,0.7702,0.7711,0.7607,
,27,0.7361,0.7628,0.7522,0.7807,,
Oct,28,0.7327,0.7504,0.741,0.7789,,
,29,0.7221,0.7317,0.7338,0.7637,,
,30,0.7154,0.7058,0.7285,0.7473,,
Nov,31,0.7095,0.6834,0.7154,0.7351,,
,32,0.697,0.6705,0.6937,0.7207,,
,33,0.671,0.6628,0.6642,0.6867,,
Dec,34,0.6282,0.6483,0.6289,0.6315,,
,35,0.5703,0.6104,0.5846,0.5557,,
,36,0.5089,0.5511,0.5285,0.4754,
