Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5626,0.5399,0.566,0.5233,0.4791,
,2,0.5213,0.4923,0.5041,0.4702,0.4343,
,3,0.4835,0.4607,0.4619,0.4338,0.4054,
Feb,4,0.4528,0.4467,0.4372,0.4269,0.3865,
,5,0.4417,0.4508,0.4228,0.4472,0.3874,
,6,0.4515,0.4727,0.4189,0.478,0.4077,
Mar,7,0.476,0.4996,0.4373,0.5201,0.4841,
,8,0.5262,0.5383,0.4815,0.5618,0.6003,
,9,0.5903,0.5792,0.552,0.5919,0.6811,
Apr,10,0.6486,0.6222,0.6003,0.6161,0.7324,
,11,0.7038,0.6714,0.6353,0.6324,0.7481,
,12,0.7465,0.7203,0.657,0.6421,0.7685,
May,13,0.7698,0.7558,0.6922,0.7083,0.7871,
,14,0.7827,0.7726,0.7376,0.7536,0.7931,
,15,0.7811,0.7827,0.7757,0.7889,0.7868,
Jun,16,0.7739,0.7872,0.7873,0.7979,0.7802,
,17,0.7687,0.7821,0.7784,0.7936,0.7948,
,18,0.7651,0.7747,0.7658,0.7739,0.8047,
Jul,19,0.7567,0.768,0.7398,0.7408,0.7993,
,20,0.7445,0.7591,0.7093,0.6774,0.7841,
,21,0.7386,0.7575,0.6798,0.6665,0.7659,
Aug,22,0.7335,0.7613,0.6738,0.7199,0.7504,
,23,0.7326,0.7681,0.701,0.7795,0.7401,
,24,0.7273,0.7745,0.7413,0.7995,0.7607,
Sep,25,0.7219,0.7739,0.7712,0.8007,0.7511,
,26,0.7269,0.7687,0.7697,0.7865,0.7522,
,27,0.737,0.7658,0.7613,0.7816,,
Oct,28,0.7408,0.7655,0.7626,0.7829,,
,29,0.7352,0.7555,0.7683,0.7914,,
,30,0.7354,0.7306,0.7684,0.7934,,
Nov,31,0.7351,0.6988,0.7567,0.7805,,
,32,0.7361,0.6859,0.7379,0.7547,,
,33,0.7247,0.6893,0.714,0.7121,,
Dec,34,0.6977,0.6981,0.6833,0.6634,,
,35,0.654,0.6794,0.6406,0.6014,,
,36,0.6,0.6311,0.5833,0.5352,
