Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3506,0.3567,0.3792,0.318,0.3543,
,2,0.3257,0.3336,0.3378,0.2929,0.328,
,3,0.3125,0.3221,0.3108,0.2776,0.3145,
Feb,4,0.2986,0.3147,0.2961,0.2715,0.3042,
,5,0.2902,0.308,0.2838,0.2716,0.296,
,6,0.2858,0.3013,0.2743,0.2745,0.2922,
Mar,7,0.2846,0.3011,0.2699,0.278,0.2987,
,8,0.2924,0.3072,0.2714,0.2758,0.3241,
,9,0.3095,0.3164,0.2817,0.2719,0.3651,
Apr,10,0.3325,0.3427,0.3009,0.2678,0.4156,
,11,0.3637,0.3848,0.3337,0.2642,0.4614,
,12,0.4107,0.4436,0.3892,0.2652,0.4968,
May,13,0.4761,0.5196,0.4693,0.3492,0.533,
,14,0.5559,0.5982,0.5471,0.4341,0.5743,
,15,0.6356,0.659,0.6101,0.5219,0.6288,
Jun,16,0.6932,0.7035,0.6517,0.5834,0.6764,
,17,0.7212,0.7318,0.6774,0.6221,0.7051,
,18,0.7324,0.7471,0.6977,0.656,0.7267,
Jul,19,0.7349,0.747,0.73,0.6873,0.7415,
,20,0.7406,0.7469,0.7615,0.7105,0.751,
,21,0.7469,0.7507,0.7817,0.7206,0.7501,
Aug,22,0.7546,0.7508,0.787,0.7284,0.744,
,23,0.7635,0.7447,0.7817,0.7337,0.7416,
,24,0.7688,0.7333,0.768,0.7365,0.7491,
Sep,25,0.7677,0.7185,0.7517,0.744,0.7478,
,26,0.7616,0.7007,0.735,0.7418,0.7607,
,27,0.7446,0.6779,0.7146,0.737,,
Oct,28,0.724,0.6507,0.6911,0.7227,,
,29,0.7041,0.6258,0.6621,0.7022,,
,30,0.6826,0.6096,0.6271,0.6769,,
Nov,31,0.6534,0.6007,0.5867,0.6447,,
,32,0.6127,0.5947,0.5416,0.6067,,
,33,0.5602,0.5774,0.4929,0.5605,,
Dec,34,0.5005,0.5425,0.4433,0.5086,,
,35,0.4425,0.4916,0.3952,0.4519,,
,36,0.3931,0.4333,0.3523,0.3957,
