Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5027,0.4797,0.5146,0.5165,0.4549,
,2,0.459,0.4311,0.4525,0.4584,0.4002,
,3,0.4294,0.4025,0.4119,0.4125,0.362,
Feb,4,0.4221,0.3985,0.3972,0.3991,0.3442,
,5,0.4422,0.4228,0.3996,0.4214,0.3539,
,6,0.4819,0.4668,0.4213,0.4613,0.3875,
Mar,7,0.5314,0.5142,0.4616,0.5127,0.4756,
,8,0.5884,0.5721,0.5156,0.5583,0.5997,
,9,0.6401,0.6252,0.5848,0.5891,0.6938,
Apr,10,0.6845,0.6719,0.6407,0.613,0.7472,
,11,0.7256,0.7198,0.6811,0.6301,0.763,
,12,0.7648,0.7646,0.7164,0.6438,0.7806,
May,13,0.7981,0.8001,0.7558,0.7361,0.8,
,14,0.8199,0.8174,0.7946,0.7921,0.8124,
,15,0.8266,0.821,0.8176,0.8263,0.803,
Jun,16,0.824,0.8119,0.8143,0.829,0.7987,
,17,0.8193,0.7934,0.7916,0.819,0.8044,
,18,0.8124,0.7868,0.7766,0.8083,0.8083,
Jul,19,0.8,0.7879,0.7696,0.7939,0.8041,
,20,0.7864,0.7912,0.7747,0.7738,0.8026,
,21,0.7738,0.7907,0.7773,0.7573,0.798,
Aug,22,0.7642,0.7921,0.7796,0.7622,0.7869,
,23,0.7605,0.7949,0.7892,0.7704,0.7723,
,24,0.7616,0.8017,0.7987,0.7726,0.7808,
Sep,25,0.7684,0.8016,0.8023,0.7844,0.7625,
,26,0.7773,0.7895,0.7952,0.7873,0.7488,
,27,0.7828,0.7762,0.7802,0.7928,,
Oct,28,0.776,0.7641,0.766,0.7902,,
,29,0.7579,0.7554,0.7533,0.7814,,
,30,0.7415,0.7455,0.7452,0.7741,,
Nov,31,0.727,0.7312,0.7356,0.764,,
,32,0.7126,0.7147,0.721,0.7475,,
,33,0.6912,0.6971,0.698,0.715,,
Dec,34,0.6559,0.6738,0.6671,0.6651,,
,35,0.6052,0.6355,0.626,0.5985,,
,36,0.5451,0.5793,0.5742,0.5236,
