Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4294,0.4634,0.6029,0.3415,0.3642,
,2,0.3852,0.4013,0.5395,0.3061,0.3226,
,3,0.3529,0.3523,0.4726,0.2817,0.3053,
Feb,4,0.326,0.3212,0.4101,0.2775,0.2985,
,5,0.3097,0.304,0.3623,0.2942,0.2899,
,6,0.2987,0.2903,0.3281,0.322,0.2904,
Mar,7,0.3013,0.284,0.3083,0.3531,0.3021,
,8,0.333,0.2891,0.304,0.3717,0.3407,
,9,0.3924,0.3143,0.3125,0.3732,0.3961,
Apr,10,0.4554,0.3812,0.3349,0.3692,0.4566,
,11,0.5041,0.4903,0.3805,0.3596,0.5183,
,12,0.5168,0.6102,0.4504,0.3529,0.5635,
May,13,0.5117,0.7037,0.5239,0.3931,0.5824,
,14,0.516,0.7393,0.5824,0.4374,0.588,
,15,0.5332,0.7433,0.6075,0.4824,0.5959,
Jun,16,0.5569,0.721,0.5968,0.5102,0.6151,
,17,0.5717,0.698,0.5737,0.5236,0.6488,
,18,0.5769,0.6776,0.5746,0.5292,0.6921,
Jul,19,0.5807,0.6628,0.6028,0.5424,0.724,
,20,0.5938,0.6547,0.6458,0.5834,0.7286,
,21,0.6198,0.6528,0.6797,0.6262,0.7101,
Aug,22,0.6498,0.6524,0.7009,0.6538,0.6816,
,23,0.6716,0.6469,0.7088,0.675,0.6584,
,24,0.6855,0.6222,0.6963,0.6859,0.6694,
Sep,25,0.6905,0.5803,0.6673,0.6981,0.6584,
,26,0.6926,0.5351,0.6329,0.6951,0.6774,
,27,0.6908,0.4984,0.5991,0.6901,,
Oct,28,0.6905,0.4771,0.58,0.6782,,
,29,0.6884,0.4798,0.5657,0.6626,,
,30,0.6883,0.5133,0.5477,0.6626,,
Nov,31,0.6789,0.5682,0.5201,0.6615,,
,32,0.6622,0.6256,0.4911,0.6487,,
,33,0.6411,0.6667,0.4655,0.6155,,
Dec,34,0.6138,0.6854,0.4443,0.5649,,
,35,0.5787,0.6809,0.4197,0.4978,,
,36,0.5267,0.6536,0.3828,0.4256,
