Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4676,0.4855,0.5883,0.416,0.4153,
,2,0.426,0.4321,0.5229,0.3785,0.3721,
,3,0.3974,0.3917,0.4622,0.3513,0.3541,
Feb,4,0.3741,0.365,0.4155,0.3386,0.3439,
,5,0.362,0.3496,0.3849,0.3392,0.3311,
,6,0.3537,0.3388,0.368,0.346,0.3205,
Mar,7,0.3567,0.3373,0.3601,0.3577,0.3167,
,8,0.3853,0.3482,0.3577,0.3679,0.3467,
,9,0.4391,0.3676,0.3589,0.3764,0.4119,
Apr,10,0.4978,0.4121,0.3728,0.3849,0.4963,
,11,0.5471,0.4891,0.4122,0.3934,0.591,
,12,0.5679,0.5855,0.4862,0.4048,0.6582,
May,13,0.5738,0.6685,0.5756,0.4646,0.68,
,14,0.5947,0.7142,0.6578,0.5172,0.6747,
,15,0.6229,0.7238,0.6966,0.5714,0.6616,
Jun,16,0.6483,0.6923,0.6915,0.6055,0.6621,
,17,0.6555,0.6651,0.6655,0.6188,0.6793,
,18,0.6519,0.6597,0.6398,0.6206,0.7044,
Jul,19,0.6385,0.6673,0.6324,0.6188,0.7226,
,20,0.6325,0.6757,0.648,0.6301,0.7157,
,21,0.6389,0.6828,0.6759,0.6516,0.6903,
Aug,22,0.6493,0.6873,0.7123,0.6666,0.6644,
,23,0.6651,0.6929,0.7472,0.6754,0.6529,
,24,0.6784,0.6873,0.7549,0.6728,0.6908,
Sep,25,0.6907,0.6634,0.7358,0.682,0.6736,
,26,0.7,0.6265,0.6981,0.678,0.6796,
,27,0.6984,0.5888,0.6546,0.6864,,
Oct,28,0.6845,0.5591,0.6246,0.6852,,
,29,0.6618,0.5467,0.6055,0.6776,,
,30,0.6535,0.5578,0.5931,0.6814,,
Nov,31,0.6521,0.5842,0.5787,0.6836,,
,32,0.6515,0.6204,0.5631,0.6764,,
,33,0.6449,0.6492,0.5432,0.6499,,
Dec,34,0.6279,0.6688,0.523,0.607,,
,35,0.592,0.6688,0.4975,0.5474,,
,36,0.5426,0.6419,0.4594,0.4768,
