Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3121,0.3863,0.5301,0.2753,0.3088,
,2,0.2855,0.325,0.4545,0.2515,0.2741,
,3,0.2708,0.28,0.3831,0.2375,0.2626,
Feb,4,0.2601,0.2551,0.3263,0.2438,0.2619,
,5,0.254,0.2444,0.2923,0.2697,0.2584,
,6,0.2474,0.2342,0.2757,0.3038,0.263,
Mar,7,0.2616,0.2293,0.2732,0.3338,0.2753,
,8,0.3122,0.2465,0.2818,0.35,0.3049,
,9,0.3888,0.3048,0.3008,0.3503,0.346,
Apr,10,0.444,0.4063,0.3276,0.3447,0.4038,
,11,0.4554,0.5314,0.3674,0.3337,0.4618,
,12,0.4423,0.6101,0.4159,0.3222,0.5014,
May,13,0.4197,0.6336,0.4577,0.3632,0.5222,
,14,0.4078,0.6204,0.4807,0.3961,0.5336,
,15,0.4023,0.5885,0.4732,0.4052,0.5477,
Jun,16,0.4005,0.5554,0.4449,0.3938,0.5553,
,17,0.3935,0.5411,0.4194,0.3696,0.5545,
,18,0.3848,0.5305,0.4233,0.3539,0.5358,
Jul,19,0.3825,0.5128,0.4541,0.3586,0.5046,
,20,0.3906,0.4857,0.4848,0.4038,0.4641,
,21,0.408,0.4612,0.5016,0.4701,0.425,
Aug,22,0.4341,0.4407,0.5029,0.513,0.4021,
,23,0.4668,0.427,0.49,0.5293,0.3985,
,24,0.511,0.4102,0.4594,0.5317,0.418,
Sep,25,0.547,0.3945,0.4271,0.537,0.461,
,26,0.5607,0.3816,0.4031,0.5338,0.5003,
,27,0.5546,0.3757,0.3897,0.532,,
Oct,28,0.5485,0.3812,0.3863,0.5278,,
,29,0.5491,0.403,0.3817,0.5322,,
,30,0.5553,0.4543,0.3697,0.5658,,
Nov,31,0.5456,0.5337,0.3578,0.5789,,
,32,0.5287,0.6081,0.3532,0.5695,,
,33,0.52,0.6419,0.354,0.5358,,
Dec,34,0.5091,0.6487,0.3503,0.4863,,
,35,0.49,0.6352,0.3355,0.4251,,
,36,0.4475,0.5954,0.3076,0.3622,
