Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3572,0.4259,0.5247,0.2825,0.3332,
,2,0.3147,0.361,0.4449,0.2585,0.2828,
,3,0.2878,0.3097,0.3687,0.2419,0.2634,
Feb,4,0.266,0.278,0.3097,0.2396,0.2593,
,5,0.2549,0.2624,0.2759,0.2533,0.2523,
,6,0.2551,0.2471,0.2629,0.2717,0.2481,
Mar,7,0.2644,0.2426,0.268,0.2906,0.253,
,8,0.2847,0.2584,0.276,0.2997,0.2788,
,9,0.3113,0.3038,0.2879,0.3002,0.3096,
Apr,10,0.3309,0.3903,0.305,0.2966,0.3473,
,11,0.3467,0.5166,0.3323,0.289,0.3664,
,12,0.3593,0.6204,0.3732,0.2807,0.3681,
May,13,0.3758,0.6822,0.4172,0.3164,0.3704,
,14,0.4025,0.6914,0.4511,0.3546,0.3987,
,15,0.4357,0.6795,0.4703,0.3857,0.4629,
Jun,16,0.4617,0.666,0.4774,0.3976,0.5414,
,17,0.4769,0.661,0.5007,0.3923,0.6036,
,18,0.4874,0.6467,0.5515,0.3975,0.6461,
Jul,19,0.5067,0.6177,0.6271,0.4346,0.6773,
,20,0.5406,0.5925,0.684,0.5181,0.6838,
,21,0.5853,0.5815,0.7122,0.6137,0.663,
Aug,22,0.6292,0.5874,0.7213,0.6698,0.627,
,23,0.6611,0.6001,0.7141,0.6924,0.5967,
,24,0.6831,0.5929,0.6715,0.6941,0.6029,
Sep,25,0.6886,0.5679,0.6111,0.6986,0.6366,
,26,0.6782,0.5373,0.5631,0.6886,0.688,
,27,0.6638,0.5161,0.5447,0.6775,,
Oct,28,0.664,0.5133,0.557,0.6628,,
,29,0.6819,0.5277,0.5668,0.6508,,
,30,0.7019,0.5557,0.5539,0.6662,,
Nov,31,0.697,0.5943,0.5145,0.6679,,
,32,0.675,0.6348,0.4657,0.6491,,
,33,0.6453,0.6673,0.4188,0.6077,,
Dec,34,0.6036,0.6762,0.38,0.5529,,
,35,0.5594,0.6531,0.3469,0.4802,,
,36,0.498,0.599,0.3134,0.4018,
