Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3584,0.4383,0.5849,0.3262,0.3192,
,2,0.3302,0.3765,0.5161,0.2931,0.2895,
,3,0.3109,0.3277,0.4433,0.267,0.2798,
Feb,4,0.2918,0.2996,0.3796,0.2658,0.2805,
,5,0.2802,0.2866,0.3343,0.2932,0.2759,
,6,0.2715,0.2746,0.3037,0.3379,0.2777,
Mar,7,0.2816,0.2688,0.2905,0.3777,0.2827,
,8,0.3221,0.2739,0.2929,0.3903,0.3027,
,9,0.3901,0.3067,0.3114,0.3813,0.3333,
Apr,10,0.4519,0.3828,0.3464,0.3713,0.3779,
,11,0.4884,0.5031,0.3983,0.3562,0.4308,
,12,0.4956,0.619,0.4591,0.3494,0.4731,
May,13,0.4907,0.6863,0.5101,0.385,0.4967,
,14,0.4881,0.6911,0.5403,0.4148,0.5129,
,15,0.4883,0.6795,0.5435,0.4373,0.5405,
Jun,16,0.4876,0.6532,0.5235,0.444,0.5779,
,17,0.4797,0.6308,0.5028,0.4389,0.609,
,18,0.4723,0.609,0.5089,0.4366,0.6317,
Jul,19,0.483,0.5863,0.5449,0.4484,0.6455,
,20,0.512,0.5758,0.5849,0.4943,0.6452,
,21,0.5529,0.5734,0.6117,0.5513,0.6216,
Aug,22,0.5923,0.5744,0.6224,0.5892,0.5818,
,23,0.618,0.5701,0.6178,0.6045,0.5427,
,24,0.6403,0.5519,0.5863,0.5985,0.5403,
Sep,25,0.6549,0.5225,0.5416,0.5976,0.5528,
,26,0.6549,0.4974,0.4999,0.5931,0.5987,
,27,0.6488,0.4767,0.4708,0.5944,,
Oct,28,0.6453,0.4694,0.464,0.5891,,
,29,0.643,0.4809,0.4667,0.5787,,
,30,0.6483,0.5238,0.4664,0.5804,,
Nov,31,0.6402,0.5864,0.4565,0.5784,,
,32,0.6238,0.6447,0.444,0.5634,,
,33,0.6042,0.6678,0.4316,0.5307,,
Dec,34,0.581,0.6782,0.4171,0.4847,,
,35,0.5514,0.6695,0.3958,0.4244,,
,36,0.5025,0.64,0.3636,0.3654,
