Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3673,0.3912,0.4436,0.2601,0.3915,
,2,0.3193,0.3382,0.3717,0.2296,0.3344,
,3,0.2807,0.2949,0.3073,0.2111,0.2984,
Feb,4,0.248,0.2642,0.2595,0.206,0.2755,
,5,0.2295,0.2441,0.2318,0.2115,0.2602,
,6,0.2219,0.2309,0.2209,0.2196,0.2518,
Mar,7,0.221,0.2261,0.2223,0.2292,0.2532,
,8,0.2301,0.2328,0.2263,0.2345,0.2724,
,9,0.2444,0.2489,0.2288,0.2358,0.2967,
Apr,10,0.2575,0.2949,0.235,0.2342,0.3319,
,11,0.2705,0.3759,0.2491,0.2305,0.37,
,12,0.2832,0.4667,0.2854,0.2269,0.3991,
May,13,0.3055,0.5445,0.34,0.2678,0.4296,
,14,0.3537,0.5855,0.3996,0.3183,0.4698,
,15,0.4243,0.6023,0.4402,0.3821,0.5264,
Jun,16,0.4994,0.6052,0.4569,0.4391,0.5835,
,17,0.5617,0.6087,0.4672,0.4792,0.6268,
,18,0.6046,0.6008,0.4928,0.5083,0.6574,
Jul,19,0.6279,0.5795,0.5395,0.5407,0.6785,
,20,0.638,0.564,0.5918,0.5837,0.6873,
,21,0.6365,0.5643,0.6323,0.6242,0.6821,
Aug,22,0.6316,0.5751,0.6528,0.6426,0.6693,
,23,0.6322,0.5859,0.6566,0.6427,0.661,
,24,0.6436,0.5802,0.6402,0.631,0.6628,
Sep,25,0.6564,0.5655,0.6135,0.6133,0.6759,
,26,0.6662,0.5532,0.5905,0.5972,0.6933,
,27,0.6641,0.5463,0.5785,0.5867,,
Oct,28,0.6574,0.5397,0.5801,0.582,,
,29,0.6488,0.5325,0.5793,0.587,,
,30,0.6435,0.5278,0.5606,0.5981,,
Nov,31,0.6316,0.5402,0.5241,0.5976,,
,32,0.6139,0.5634,0.4797,0.5911,,
,33,0.5879,0.586,0.4352,0.5746,,
Dec,34,0.5516,0.5878,0.3915,0.5545,,
,35,0.5058,0.5627,0.3477,0.5136,,
,36,0.4504,0.5114,0.3018,0.4556,
