Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4472,0.4004,0.4854,0.3473,0.3582,
,2,0.3942,0.3441,0.4128,0.3034,0.2995,
,3,0.3624,0.3157,0.3606,0.2794,0.2791,
Feb,4,0.3477,0.3098,0.3345,0.2762,0.2809,
,5,0.3496,0.3158,0.3221,0.2863,0.2964,
,6,0.3552,0.3226,0.3173,0.3026,0.3213,
Mar,7,0.3715,0.3367,0.3181,0.3262,0.3634,
,8,0.4072,0.3608,0.3334,0.3561,0.4408,
,9,0.4622,0.3944,0.3684,0.3856,0.5395,
Apr,10,0.5217,0.446,0.4187,0.4106,0.6375,
,11,0.5768,0.5236,0.4917,0.4315,0.7048,
,12,0.6175,0.6212,0.577,0.4461,0.7503,
May,13,0.6493,0.7057,0.6707,0.5765,0.7769,
,14,0.6863,0.7554,0.7361,0.661,0.7881,
,15,0.7214,0.7686,0.768,0.7224,0.7961,
Jun,16,0.7421,0.7539,0.7604,0.7444,0.7899,
,17,0.7489,0.7378,0.7386,0.7482,0.7847,
,18,0.7508,0.7386,0.7132,0.7545,0.7883,
Jul,19,0.7447,0.7416,0.716,0.7548,0.797,
,20,0.7371,0.7406,0.728,0.7546,0.7954,
,21,0.7296,0.7401,0.7423,0.7513,0.7724,
Aug,22,0.7235,0.7449,0.7618,0.7504,0.7487,
,23,0.7262,0.7528,0.7787,0.7415,0.7404,
,24,0.7344,0.7557,0.7888,0.7157,0.7535,
Sep,25,0.744,0.7471,0.7777,0.6977,0.7456,
,26,0.7524,0.7337,0.7483,0.6909,0.7559,
,27,0.7518,0.7174,0.7164,0.7072,,
Oct,28,0.7393,0.7026,0.6995,0.7284,,
,29,0.7224,0.6846,0.6881,0.7452,,
,30,0.7076,0.6671,0.6788,0.7424,,
Nov,31,0.6971,0.6567,0.6527,0.7266,,
,32,0.6864,0.6553,0.6157,0.699,,
,33,0.6658,0.6564,0.5699,0.6564,,
Dec,34,0.6245,0.6515,0.5211,0.6027,,
,35,0.5583,0.6207,0.4647,0.5312,,
,36,0.4774,0.5611,0.4053,0.447,
