Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4804,0.4848,0.5605,0.373,0.4319,
,2,0.4304,0.4286,0.4929,0.3355,0.3779,
,3,0.393,0.3847,0.435,0.3119,0.3499,
Feb,4,0.3657,0.356,0.3923,0.3063,0.3382,
,5,0.3545,0.3403,0.365,0.3167,0.3351,
,6,0.3483,0.3326,0.3501,0.3367,0.3441,
Mar,7,0.356,0.3335,0.3455,0.364,0.3728,
,8,0.386,0.3504,0.3503,0.3912,0.4365,
,9,0.4394,0.3905,0.3668,0.4116,0.5168,
Apr,10,0.4951,0.4562,0.3975,0.4283,0.5982,
,11,0.5495,0.551,0.4502,0.4429,0.6557,
,12,0.5826,0.644,0.5258,0.455,0.686,
May,13,0.6048,0.7104,0.6093,0.5263,0.701,
,14,0.6275,0.7419,0.6812,0.5896,0.7049,
,15,0.6463,0.75,0.716,0.6505,0.7111,
Jun,16,0.6511,0.7299,0.7158,0.6834,0.72,
,17,0.655,0.7164,0.696,0.7023,0.7312,
,18,0.6674,0.711,0.6802,0.7075,0.7486,
Jul,19,0.6936,0.7134,0.6888,0.7096,0.7674,
,20,0.7181,0.7156,0.7153,0.7153,0.7738,
,21,0.7315,0.7165,0.7461,0.7167,0.7605,
Aug,22,0.73,0.7178,0.7679,0.7164,0.7424,
,23,0.7199,0.7192,0.7819,0.7138,0.7339,
,24,0.7115,0.7126,0.7809,0.7067,0.7543,
Sep,25,0.712,0.6943,0.7657,0.7023,0.7461,
,26,0.7161,0.6694,0.7395,0.6995,0.7466,
,27,0.7177,0.6413,0.7157,0.7091,,
Oct,28,0.7098,0.6163,0.7045,0.7199,,
,29,0.7026,0.6026,0.6999,0.7191,,
,30,0.6996,0.6065,0.6948,0.7148,,
Nov,31,0.6973,0.6274,0.6734,0.7075,,
,32,0.6877,0.6577,0.6389,0.6957,,
,33,0.6715,0.681,0.5916,0.6711,,
Dec,34,0.6443,0.6871,0.538,0.6328,,
,35,0.6022,0.6689,0.4808,0.5757,,
,36,0.5458,0.6241,0.423,0.5044,
