Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4172,0.4522,0.3203,0.3019,0.3661,
,2,0.3729,0.407,0.2811,0.2728,0.3155,
,3,0.3359,0.3655,0.2525,0.2535,0.2818,
Feb,4,0.3053,0.3311,0.236,0.2452,0.2634,
,5,0.283,0.3031,0.2295,0.2465,0.2536,
,6,0.2723,0.2813,0.2246,0.2449,0.2524,
Mar,7,0.2682,0.2698,0.2241,0.2452,0.2606,
,8,0.2686,0.2692,0.2279,0.2435,0.2725,
,9,0.2717,0.2745,0.2336,0.2465,0.2835,
Apr,10,0.2771,0.2802,0.2379,0.2535,0.2901,
,11,0.2972,0.2804,0.2468,0.2659,0.2923,
,12,0.3418,0.3008,0.2652,0.276,0.3,
May,13,0.4153,0.3596,0.3155,0.3448,0.318,
,14,0.4985,0.4561,0.4016,0.4292,0.3605,
,15,0.5764,0.5697,0.5109,0.5256,0.4308,
Jun,16,0.6237,0.6628,0.6021,0.5863,0.5113,
,17,0.6448,0.7095,0.661,0.6069,0.5984,
,18,0.6547,0.7229,0.6687,0.6162,0.6719,
Jul,19,0.6572,0.7168,0.6617,0.6245,0.7143,
,20,0.6461,0.7153,0.6647,0.6522,0.7294,
,21,0.6389,0.7198,0.6846,0.6772,0.733,
Aug,22,0.6438,0.7185,0.7107,0.6904,0.727,
,23,0.6653,0.7159,0.7265,0.6975,0.7154,
,24,0.6889,0.7121,0.727,0.7008,0.7349,
Sep,25,0.6933,0.7073,0.7248,0.7036,0.7031,
,26,0.6872,0.6988,0.724,0.7016,0.7168,
,27,0.6755,0.6893,0.7158,0.7111,,
Oct,28,0.667,0.6767,0.7101,0.7172,,
,29,0.6626,0.6634,0.7036,0.7136,,
,30,0.6599,0.6444,0.6869,0.7044,,
Nov,31,0.65,0.6181,0.6553,0.6796,,
,32,0.6323,0.5794,0.6063,0.6467,,
,33,0.6077,0.5312,0.537,0.6024,,
Dec,34,0.5756,0.4773,0.4632,0.5517,,
,35,0.539,0.4233,0.3992,0.4925,,
,36,0.4974,0.369,0.3452,0.4275,
