Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.4923,0.5065,0.4578,0.4708,0.4597,
,2,0.4723,0.4766,0.4306,0.4485,0.433,
,3,0.4519,0.4503,0.4077,0.4286,0.4123,
Feb,4,0.4351,0.4278,0.388,0.4105,0.3895,
,5,0.4244,0.4064,0.3682,0.3959,0.3779,
,6,0.4227,0.3862,0.3552,0.3818,0.374,
Mar,7,0.4252,0.3766,0.3513,0.3697,0.3739,
,8,0.4262,0.377,0.3601,0.3629,0.3825,
,9,0.4244,0.3879,0.3798,0.366,0.3942,
Apr,10,0.4311,0.4022,0.4005,0.3757,0.4078,
,11,0.4486,0.4166,0.4254,0.3938,0.4197,
,12,0.4835,0.4401,0.4622,0.4157,0.4289,
May,13,0.5288,0.4872,0.5111,0.4521,0.4458,
,14,0.5674,0.5523,0.5629,0.4959,0.475,
,15,0.5888,0.6205,0.6049,0.5394,0.5206,
Jun,16,0.593,0.6538,0.6267,0.5687,0.5669,
,17,0.587,0.6641,0.6321,0.5873,0.6045,
,18,0.5851,0.6609,0.6203,0.6064,0.6313,
Jul,19,0.5997,0.6417,0.6069,0.6248,0.6501,
,20,0.6208,0.6256,0.6179,0.6289,0.6705,
,21,0.6346,0.6236,0.6495,0.619,0.6822,
Aug,22,0.633,0.6307,0.6826,0.6119,0.6753,
,23,0.6248,0.6441,0.6913,0.6275,0.6583,
,24,0.6214,0.6486,0.6838,0.6531,0.6509,
Sep,25,0.6325,0.6443,0.6622,0.6584,0.6525,
,26,0.652,0.6448,0.6456,0.6557,0.6734,
,27,0.6692,0.6573,0.6395,0.6606,,
Oct,28,0.6766,0.671,0.6494,0.6675,,
,29,0.6754,0.6716,0.6626,0.6733,,
,30,0.6703,0.658,0.6662,0.6812,,
Nov,31,0.6614,0.6371,0.655,0.6671,,
,32,0.6503,0.6126,0.6314,0.6427,,
,33,0.6322,0.5864,0.5961,0.6112,,
Dec,34,0.6063,0.5584,0.5593,0.5725,,
,35,0.573,0.5255,0.526,0.5312,,
,36,0.5386,0.4905,0.4964,0.4939,
