Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3707,0.3735,0.3675,0.3164,0.3694,
,2,0.3296,0.326,0.322,0.2865,0.3223,
,3,0.3006,0.2984,0.2885,0.2648,0.2962,
Feb,4,0.279,0.283,0.2656,0.2506,0.2808,
,5,0.2666,0.2733,0.2512,0.243,0.2723,
,6,0.2612,0.2671,0.2423,0.2391,0.2673,
Mar,7,0.2591,0.2662,0.2396,0.2379,0.2655,
,8,0.2603,0.2691,0.243,0.2359,0.2808,
,9,0.2607,0.2728,0.2503,0.2349,0.3032,
Apr,10,0.2575,0.2778,0.2574,0.2359,0.3351,
,11,0.2514,0.2844,0.2685,0.2388,0.3659,
,12,0.2683,0.3146,0.2954,0.2447,0.396,
May,13,0.32,0.374,0.3373,0.2988,0.4378,
,14,0.4006,0.4516,0.3849,0.3602,0.5028,
,15,0.4924,0.5316,0.427,0.4323,0.5867,
Jun,16,0.5615,0.5987,0.456,0.4841,0.6454,
,17,0.5993,0.6422,0.477,0.5115,0.6744,
,18,0.6179,0.6622,0.5025,0.5236,0.6897,
Jul,19,0.6323,0.6613,0.5445,0.5292,0.6998,
,20,0.6404,0.6572,0.5965,0.5388,0.7077,
,21,0.6398,0.6536,0.6427,0.5551,0.7083,
Aug,22,0.6332,0.6428,0.671,0.589,0.6999,
,23,0.631,0.6244,0.6716,0.6109,0.6864,
,24,0.6386,0.6017,0.6517,0.6218,0.6819,
Sep,25,0.6553,0.5857,0.6247,0.6214,0.6667,
,26,0.6737,0.5845,0.6034,0.6152,0.6616,
,27,0.6786,0.5948,0.5954,0.6213,,
Oct,28,0.6775,0.6028,0.5969,0.6308,,
,29,0.6752,0.6005,0.5972,0.6434,,
,30,0.6753,0.5847,0.5843,0.6509,,
Nov,31,0.6697,0.5648,0.5592,0.6351,,
,32,0.6511,0.545,0.525,0.6105,,
,33,0.6171,0.5254,0.4845,0.5767,,
Dec,34,0.5666,0.5023,0.4396,0.5387,,
,35,0.5014,0.467,0.3946,0.4908,,
,36,0.4342,0.4191,0.3531,0.4292,
