Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.3665,0.3854,0.3833,0.429,0.4173,
,2,0.3556,0.3622,0.3567,0.406,0.3871,
,3,0.3443,0.3443,0.3306,0.383,0.3696,
Feb,4,0.3293,0.3288,0.3106,0.3642,0.3538,
,5,0.3179,0.3128,0.2937,0.3515,0.3397,
,6,0.3161,0.2991,0.2823,0.3419,0.3278,
Mar,7,0.3214,0.2908,0.2798,0.3325,0.3246,
,8,0.3277,0.2917,0.2858,0.3209,0.3315,
,9,0.3293,0.3014,0.2992,0.3142,0.3444,
Apr,10,0.3306,0.3162,0.3068,0.3117,0.3576,
,11,0.35,0.3333,0.3248,0.3163,0.3655,
,12,0.4035,0.3622,0.3691,0.3282,0.3695,
May,13,0.4851,0.4159,0.4494,0.3641,0.3727,
,14,0.5532,0.4935,0.549,0.4169,0.3796,
,15,0.5915,0.5812,0.6452,0.4943,0.4016,
Jun,16,0.6017,0.6415,0.6991,0.5835,0.4495,
,17,0.599,0.668,0.7221,0.6635,0.525,
,18,0.603,0.6746,0.705,0.7158,0.6194,
Jul,19,0.6304,0.6674,0.6976,0.7408,0.6909,
,20,0.6748,0.6618,0.7105,0.7443,0.7247,
,21,0.7237,0.6665,0.7384,0.7378,0.7434,
Aug,22,0.7548,0.6794,0.7581,0.7392,0.7541,
,23,0.7654,0.6962,0.7596,0.7519,0.7629,
,24,0.7572,0.711,0.7422,0.7536,0.7836,
Sep,25,0.747,0.7178,0.7193,0.7466,0.7789,
,26,0.7473,0.7249,0.7012,0.7353,0.7914,
,27,0.752,0.7325,0.6882,0.7405,,
Oct,28,0.7471,0.7338,0.684,0.7384,,
,29,0.7301,0.7186,0.6822,0.7267,,
,30,0.7022,0.69,0.6753,0.7029,,
Nov,31,0.6604,0.6472,0.6538,0.6712,,
,32,0.6159,0.5989,0.6191,0.6366,,
,33,0.5654,0.5447,0.5708,0.5982,,
Dec,34,0.5115,0.4956,0.5242,0.5585,,
,35,0.4605,0.4531,0.4851,0.5128,,
,36,0.4176,0.4154,0.4537,0.4608,
