Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5098,0.5329,0.4106,0.4462,0.4644,
,2,0.4837,0.4942,0.3856,0.4198,0.4414,
,3,0.462,0.4585,0.3639,0.3949,0.4244,
Feb,4,0.4415,0.427,0.3456,0.3718,0.4074,
,5,0.4257,0.4,0.3277,0.3523,0.3997,
,6,0.4161,0.3795,0.3136,0.3356,0.3962,
Mar,7,0.4136,0.3718,0.3044,0.325,0.3969,
,8,0.4148,0.3758,0.3112,0.3208,0.4084,
,9,0.4225,0.3836,0.3345,0.3256,0.4213,
Apr,10,0.4371,0.393,0.3635,0.338,0.4337,
,11,0.4643,0.4023,0.3964,0.357,0.4424,
,12,0.5068,0.4309,0.4438,0.3773,0.4486,
May,13,0.5613,0.4941,0.4979,0.4238,0.4688,
,14,0.6041,0.5809,0.5512,0.4738,0.5079,
,15,0.6275,0.6618,0.5918,0.5314,0.5642,
Jun,16,0.6316,0.7,0.6107,0.5764,0.6148,
,17,0.6259,0.709,0.6175,0.6016,0.6429,
,18,0.6199,0.7015,0.6262,0.6214,0.6585,
Jul,19,0.6211,0.6747,0.6504,0.6344,0.6679,
,20,0.6162,0.6535,0.6847,0.6357,0.6751,
,21,0.6081,0.6466,0.7224,0.6242,0.6774,
Aug,22,0.5999,0.6545,0.742,0.6187,0.6753,
,23,0.6044,0.6671,0.7414,0.6476,0.6796,
,24,0.6283,0.675,0.7269,0.6834,0.6898,
Sep,25,0.6512,0.6707,0.7088,0.694,0.7042,
,26,0.669,0.661,0.695,0.6935,0.7235,
,27,0.675,0.6596,0.6918,0.7043,,
Oct,28,0.6718,0.6638,0.7036,0.7087,,
,29,0.6704,0.6662,0.717,0.7051,,
,30,0.6764,0.655,0.7183,0.7021,,
Nov,31,0.6785,0.6327,0.7006,0.6849,,
,32,0.6751,0.598,0.6654,0.6575,,
,33,0.6634,0.556,0.6161,0.6208,,
Dec,34,0.6413,0.5154,0.563,0.5774,,
,35,0.608,0.4769,0.5164,0.5315,,
,36,0.571,0.4419,0.478,0.4954,
