Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.5291,0.5372,0.5049,0.5269,0.4816,
,2,0.5117,0.5091,0.48,0.5092,0.4594,
,3,0.4916,0.4848,0.4546,0.4929,0.4417,
Feb,4,0.4703,0.4647,0.4273,0.4766,0.4194,
,5,0.4538,0.4443,0.3949,0.4616,0.4029,
,6,0.4468,0.425,0.3686,0.443,0.3913,
Mar,7,0.4466,0.4149,0.3551,0.4203,0.3863,
,8,0.449,0.4162,0.361,0.3983,0.3895,
,9,0.4502,0.4283,0.3822,0.3849,0.3967,
Apr,10,0.4562,0.447,0.4046,0.3788,0.4056,
,11,0.4727,0.461,0.424,0.381,0.413,
,12,0.5046,0.4723,0.4567,0.393,0.4203,
May,13,0.5425,0.4891,0.5079,0.4453,0.4309,
,14,0.5706,0.5132,0.5663,0.5039,0.4474,
,15,0.5805,0.5389,0.6087,0.567,0.4751,
Jun,16,0.577,0.5594,0.6192,0.6072,0.504,
,17,0.5706,0.5701,0.6115,0.6309,0.5296,
,18,0.5738,0.5744,0.5813,0.6406,0.5575,
Jul,19,0.5924,0.5729,0.5726,0.6483,0.5869,
,20,0.6188,0.5712,0.591,0.6436,0.6241,
,21,0.6423,0.577,0.632,0.6234,0.6593,
Aug,22,0.6531,0.5933,0.6708,0.6075,0.6731,
,23,0.6552,0.6188,0.6878,0.6073,0.6708,
,24,0.6561,0.6395,0.6822,0.617,0.692,
Sep,25,0.6637,0.6457,0.6637,0.6181,0.6769,
,26,0.68,0.6534,0.6463,0.621,0.688,
,27,0.6957,0.6692,0.6363,0.6405,,
Oct,28,0.7027,0.6857,0.6425,0.6587,,
,29,0.7005,0.6803,0.6537,0.6682,,
,30,0.6958,0.6674,0.6569,0.6724,,
Nov,31,0.6868,0.6516,0.649,0.6549,,
,32,0.6747,0.635,0.6348,0.628,,
,33,0.6561,0.6167,0.6125,0.5988,,
Dec,34,0.6328,0.5931,0.5881,0.5679,,
,35,0.6,0.5637,0.5663,0.5386,,
,36,0.568,0.5334,0.5457,0.51,
