Month,Period,2014,2015,2016,2017,2018,
Jan,1,0.374,0.4469,0.3606,0.396,0.4189,
,2,0.3514,0.4148,0.3328,0.3701,0.3838,
,3,0.3308,0.387,0.3099,0.3449,0.3592,
Feb,4,0.3103,0.3631,0.2962,0.3259,0.3404,
,5,0.2955,0.3404,0.2843,0.3129,0.3246,
,6,0.2925,0.3184,0.2727,0.302,0.316,
Mar,7,0.2959,0.3002,0.2663,0.294,0.3158,
,8,0.2982,0.2914,0.2678,0.2874,0.3205,
,9,0.2954,0.2946,0.2778,0.2859,0.3311,
Apr,10,0.2918,0.3037,0.2916,0.2902,0.3464,
,11,0.2939,0.308,0.3103,0.3024,0.3619,
,12,0.3185,0.3222,0.345,0.3159,0.375,
May,13,0.369,0.3634,0.4058,0.3391,0.3976,
,14,0.4234,0.4483,0.4865,0.3757,0.4438,
,15,0.4721,0.5594,0.5684,0.4321,0.5084,
Jun,16,0.5021,0.6675,0.6246,0.4964,0.5716,
,17,0.5044,0.7232,0.6505,0.5545,0.6244,
,18,0.5027,0.7407,0.6419,0.6058,0.6686,
Jul,19,0.523,0.7212,0.6341,0.6406,0.7028,
,20,0.5622,0.703,0.6454,0.6627,0.7257,
,21,0.619,0.6912,0.6702,0.6668,0.7428,
Aug,22,0.6674,0.6889,0.7048,0.6651,0.7447,
,23,0.7011,0.6962,0.7206,0.6769,0.7347,
,24,0.7152,0.7034,0.7149,0.6936,0.7605,
Sep,25,0.7201,0.7053,0.7067,0.7084,0.7201,
,26,0.7248,0.7042,0.7,0.7075,0.7128,
,27,0.7244,0.7029,0.6897,0.7068,,
Oct,28,0.7133,0.6965,0.6862,0.7,,
,29,0.6955,0.6826,0.6841,0.6902,,
,30,0.6769,0.6619,0.672,0.6773,,
Nov,31,0.6528,0.6309,0.6478,0.6575,,
,32,0.6292,0.5904,0.6102,0.6324,,
,33,0.5991,0.5407,0.5579,0.5994,,
Dec,34,0.5621,0.4894,0.5068,0.5611,,
,35,0.5224,0.4409,0.4634,0.5152,,
,36,0.4829,0.3976,0.4268,0.464,
